name,price,rpm,color,size,
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,225.01,"8,001,900",White / Silver,240,
EK AIO 280 D-RGB,113.59,"5,002,000",Black / Translucent White,280,
Deepcool AG400 PLUS,,"5,002,000",Black / Silver,,
Cooler Master MasterLiquid ML240 Illusion,127.05,"6,501,800",Black,240,
Cooler Master MasterLiquid ML240L V2 RGB,129.9,"6,501,800",White / Black,240,
Alphacool Eisbaer Pro Aurora,227.91,,Black,360,
be quiet! Pure Loop 2 FX,109.9,,Black,280,
Cooler Master MasterLiquid PL360 FLUX,179.99,,Black,360,
Thermaltake TH360 V2 Ultra ARGB Sync,187.13,"5,001,800",White,360,
MSI MPG CORELIQUID K360,390,,Black,360,
Corsair H100i PRO RGB,,2400,Black,240,
ARCTIC Liquid Freezer II 360 Rev. 2,,"2,001,800",Black,360,
Scythe FUMA 2,,"3,001,200",Black / Silver,,
Noctua NH-D14,,"9,001,200",,,
Thermalright Frozen Edge,53.9,2150,White,240,
ENDORFY Spartan 5 MAX ARGB,42.55,"2,501,500",Black / Silver,,
Asus ROG STRIX LC II,89.99,"8,002,500",Black,240,
be quiet! Dark Rock TF 2,89.9,1400,Black,,
Noctua NH-U9B SE2,119.99,"10,001,600",,,
Noctua NH-C14S,79.95,"3,001,500",,,
Corsair iCUE H115i ELITE CAPELLIX,200,2000,Black,280,
Phanteks Glacier One 360 T30 Gen2,390.67,"12,003,000",Black / Gray,360,
Noctua NH-U14S TR4-SP3,99.95,"3,001,500",,,
Thermalright Assassin Spirit V2 Plus,,1500,Gray,,
Deepcool LE500,,"5,002,250",Black,240,
Lian Li Galahad II LCD,209.99,"3,001,550",Black,280,
Cooler Master Hyper 212 EVO V2,62.74,"6,501,800",,,
Vetroo V360,84.59,"8,001,800",Black,360,
Vetroo V5,27.99,"8,001,700",Pink,,
NZXT Kraken X62,,"5,001,800",,280,
APNX AP1-V,49.9,"6,001,800",Black,,
Asus ROG RYUO III 240 ARGB,130.51,2200,Black,240,
Asus ROG Ryujin III,174.99,"4,502,000",Black,240,
Lian Li GALAHAD AIO 360 RGB,209,"8,001,900",Black / Silver,360,
be quiet! Pure Loop 280,99.9,,Black,280,
Corsair iCUE H100i ELITE CAPELLIX,189.99,2400,White,240,
EVGA CLC 280,,"6,002,200",,280,
Fractal Design Lumen S36 V2,173.57,"5,002,000",Black,360,
Thermalright Assassin King SE,19.89,1550,Silver / Gray,,
Cooler Master MasterLiquid Lite 120,,"6,502,000",,120,
Deepcool AG400 ARGB,,"5,002,000",Black / Silver,,
Cooler Master Hyper 212 LED Turbo ARGB,62.49,"6,501,800",Black,,
ID-COOLING SL360,,"5,002,000",White,360,
Cooler Master Hyper 622 Halo,64.98,"6,502,050",White,,
ENDORFY Fera 5 Dual Fan,54.16,"2,501,800",Black / Silver,,
NZXT Kraken Z53 RGB,,"5,001,500",White / Black,240,
EVGA CLCx 360,149.99,,Black,360,
ID-COOLING IS-55 ARGB,34.99,"5,002,000",White,,
Phanteks GLACIER ONE 420D30,184.99,"2,501,800",White,420,
Cooler Master Hyper H410R RGB,43.64,"6,002,000",,,
NZXT Kraken X63 RGB,278.83,"5,001,500",White / Black,280,
Razer Hanbo Chroma,,,Black,360,
be quiet! Silent Loop 2 240,180.08,2200,Black,240,
ID-COOLING FROZN A410 ARGB,34.99,"5,002,000",Black,,
NZXT Kraken Z63 RGB,,"5,001,500",White / Black,280,
Deepcool AS500 Plus,44.99,"5,001,200",Black,,
Deepcool GAMMAXX GT A-RGB,,"5,001,650",Black / Silver,,
Deepcool CASTLE 360EX A-RGB,,"5,001,800",Black,360,
ID-COOLING FROZN A620 ARGB,59.99,"5,002,000",Black,,
ID-COOLING AURAFLOW X,59.99,"7,001,800",Black,240,
Scythe Fuma 2 Rev.B,,"3,001,500",Black / Silver,,
be quiet! Pure Rock Slim,33.99,2000,,,
APNX AP1-V,49.9,"6,001,800",White,,
Corsair iCUE H170i ELITE LCD,289.99,"4,001,600",Black,420,
NZXT Kraken Z63 RGB,,"5,001,500",Black,280,
Corsair H60,,2000,,120,
CRYORIG H7,159.88,"3,301,600",,,
Corsair H55,,1500,Black,120,
Thermaltake Gravity A2,20.3,"12,003,500",Silver / Black,,
Corsair iCUE LINK H115i RGB,169.99,"4,002,000",Black,280,
Intel BXTS15A,44.62,"10,003,850",,,
ID-COOLING FROSTFLOW X 240 LITE,,"7,001,800",Black,240,
Thermaltake Gravity i3,17.79,"12,003,500",Silver / Black,,
NZXT Kraken X53 RGB,174.99,"5,001,500",White / Black,240,
Lian Li Galahad AIO240 (2022),171.68,"8,001,900",Black / Silver,240,
ID-COOLING SE-224-XTS,29.99,"6,001,500",White,,
Montech METAL DT24 PREMIUM,69,"8,001,950",Black / Silver,,
Thermalright Frozen Warframe ARGB,,2000,Black,360,
Zalman CNPS9X Performa ARGB,24.99,"7,001,800",Black,,
Corsair H100i,,2700,,240,
ARCTIC Alpine 12 LP,12.95,"1,002,000",Black / White,,
Thermalright Aqua Elite ARGB V2,,2000,,360,
Thermalright Peerless Assassin MINI,,1500,Black,,
Noctua NH-L12Sx77,74.9,"4,501,850",Silver / Beige,,
Deepcool LE500 Marrs,,"5,002,250",Black,240,
Thermaltake TH420 V2 Ultra ARGB Sync,168.99,"5,002,000",Black,420,
Deepcool AG500 WH ARGB,36.98,"3,001,850",White,,
Thermalright Frost Commander 140,35.9,1800,Gray,,
Thermaltake TH120 V2 ARGB Sync,79.98,"5,002,000",Black,120,
EK EK-Nucleus AIO CR240 Lux D-RGB,127.99,"5,502,300",White,240,
be quiet! Shadow Rock 3,47.9,,White / Black,,
Cooler Master MasterLiquid ML240 Illusion,129.11,"6,501,800",White,240,
Gigabyte AORUS WATERFORCE X,183.81,"8,002,500",Black,240,
ID-COOLING DK-03,,1600,,,
Cooler Master MASTERLIQUID PL360 FLUX,,,White,360,
Corsair iCUE H115i RGB Pro XT,,2200,Black,280,
Cooler Master MasterLiquid PL240 FLUX,126.74,,Black,240,
Thermaltake TOUGHLIQUID Ultra,216.19,"5,002,500",Black,360,
Deepcool AK500S DIGITAL,54.99,"5,001,850",White,,
Jonsbo CR-1000 EVO ARGB Black,25.99,"6,001,500",Black,,
Cooler Master MasterAir MA612 Stealth ARGB,71.97,"6,501,800",,,
Cooler Master Hyper H411R,,"6,002,000",Black / Silver,,
ARCTIC Freezer i35 RGB,33.26,"2,001,700",Black,,
Asus ROG Ryujin III,204.99,"6,002,200",White,240,
Cooler Master A71C,,"6,501,800",Black,,
Cooler Master Hyper 212 Halo SF6 Ryu,45.24,"6,502,050",White / Orange,,
Thermalright Frozen Magic Scenic V2,,2000,White,280,
Corsair A500,89.99,2400,Black / Silver,,
be quiet! Dark Rock Pro TR4,132.19,"12,001,500",Black,,
Thermaltake TH280 V2 ARGB Sync,99.99,"5,001,800",Black,280,
be quiet! Silent Loop 2 280,166.59,1600,Black,280,
Noctua NH-U9 TR4-SP3,89.95,"4,002,000",,,
Thermaltake TH240 V2 ARGB Sync,89.99,"5,002,000",White,240,
be quiet! Pure Loop 360,129.99,,Black,360,
Antec VORTEX 360,,"6,002,000",Black,360,
Cooler Master MasterLiquid ML360R RGB,,"6,502,000",Black,360,
Deepcool CASTLE 240EX A-RGB,,"5,001,800",Black,240,
MSI MAG CORELIQUID E240,99,,Black,240,
Cooler Master i50,16.98,2000,Black / Silver,,
NZXT Kraken Z53 RGB,,"5,001,500",Black,240,
Deepcool GAMMAXX GTE V2,,"5,001,650",Black / White,,
MSI MAG CORELIQUID E240 WHITE,99,,White,240,
Corsair iCUE H100i ELITE LCD,217.29,"4,502,000",Black,240,
Noctua NH-U12S SE-AM4,74.95,"3,001,500",,,
Antec A400i,28.74,"8,001,800",Black / Silver,,
Alpenföhn Glacier Water 280,,"5,002,000",Black,280,
Thermalright Frost Spirit 140 V3 BLACK,,1500,Black,,
NZXT Kraken X52,,"5,002,000",,240,
Deepcool THETA 20 PWM,,"9,002,400",Black / Silver,,
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,,"8,001,900",Black / Silver,240,
ID-COOLING FROZN A620 ARGB WHITE,59.99,"5,002,000",White,,
Asus TUF Gaming LC II ARGB,89.99,"8,002,000",Black,240,
Gigabyte AORUS LIQUID COOLER,,2500,Black,360,
Asus ROG RYUO III 240 ARGB WHITE EDITION,134.99,2200,White,240,
Asus ROG STRIX LC II ARGB,149.99,"8,002,500",White / Black,240,
ID-COOLING FROZN A410 ARGB WHITE,34.99,"5,002,000",White,,
ARCTIC Freezer A35 A-RGB,46.99,"2,001,700",Black,,
be quiet! Pure Loop 2,89.9,,Black,240,
ID-COOLING SE-914-XT ARGB,29.99,"6,002,200",Black / Gray,,
Enermax LIQMAX III 360 ARGB,89.99,"5,001,600",White / Black,360,
Corsair H110i,,2100,,280,
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"8,001,900",White / Silver,360,
Gelid Solutions Liquid 120,64.98,"7,501,800",Black,120,
Deepcool LD240,99.99,"6,002,400",Black,240,
Scythe Mugen 5 Black Edition Rev.C,50.99,"3,001,500",Black,,
be quiet! Pure Loop 2,99.9,,Black,280,
Fractal Design Lumen S24 V2,,"5,002,000",Black,240,
Fractal Design Celsius S24,126.4,"5,002,000",,240,
NZXT Kraken X63 RGB,,"5,001,500",Black,280,
ID-COOLING FROZN A610 BLACK,39.99,"5,002,000",Black,,
Deepcool GAMMAXX L240 V2,,"5,001,800",Black / White,240,
ENDORFY Fortis 5,67.14,"2,501,400",Black / Silver,,
Gelid Solutions BlackFrore,23.99,"9,002,000",Black,,
be quiet! Dark Rock 3,,"4,001,400",,,
be quiet! Pure Rock,,1500,,,
Thermaltake TH120 V2 ARGB Sync,79.98,"5,002,000",White,120,
Thermalright Assassin King 90,23.9,2500,Black / Silver,,
Thermaltake TOUGHLIQUID Ultra,249.99,"5,002,000",Black,420,
Cooler Master MasterLiquid ML240R RGB,149.1,"6,502,000",,240,
Alpenföhn Panorama 2,,"5,003,000",Black,,
Cooler Master X Dream I117,,1800,,,
Deepcool AS500 PLUS WH,49.99,"5,001,200",White / Silver,,
NZXT Kraken X72,,"5,002,000",Black,360,
ID-COOLING FROSTFLOW X,,"7,001,800",,240,
Jonsbo CR-1400,,"9,002,300",Black,,
Gigabyte AORUS WATERFORCE 240,,"9,502,150",Black,240,
Thermaltake TH120 ARGB Sync,59.74,1500,Black,120,
Enermax AQUAFUSION ADV 360,99.99,"5,002,000",Black,360,
Asus ROG Ryujin III ARGB,234.99,"6,002,200",Black,240,
Deepcool AN600,55.98,"5,001,850",Black / Silver,,
ID-COOLING SL240,99.99,"5,002,000",White,240,
ARCTIC Freezer i35 A-RGB,44.77,"2,001,700",Black,,
Deepcool UD511 RGB,,"5,001,800",Black,,
Deepcool GAMMAXX 400 V2,,"5,001,650",Black / Blue,,
Gelid Solutions Tranquillo Rev. 5,19.98,"9,002,000",Black,,
Deepcool AG400 DIGITAL BK ARGB,,"5,002,100",Black,,
Iceberg Thermal IceSLEET G3,17.98,"6,001,200",Black / Gray,,
Alphacool Core Ocean T38,,,Black,360,
Enermax LIQMAX III 240 ARGB,69.98,"5,001,600",White / Black,240,
Cooler Master MasterLiquid ML360 Sub-Zero EVO,,,Black,360,
Fractal Design Lumen S28 RGB V2,197.95,"5,001,700",Black,280,
Noctua NH-D15 SE-AM4,109.95,"12,001,500",,,
Asus ROG RYUJIN 360,267.05,"4,502,000",Black,360,
Deepcool ASSASSIN III,79.98,"4,001,400",Black / Silver,,
Deepcool AK400,,"5,001,850",Pink / White,,
MSI MEG CORELIQUID S280,165,,Black,280,
Razer Hanbo Chroma,179.99,,Black,240,
Thermalright Frozen Vision 360,,2150,White,360,
Cooler Master MasterLiquid ML240L RGB,118.99,"6,502,000",,240,
Jonsbo CR-1000,,"7,001,800",Black,,
ENDORFY Spartan 5 MAX,38.45,"2,501,500",Black / Silver,,
Enermax AQUAFUSION ADV,72.86,"5,002,000",White,360,
ENDORFY Spartan 5 ARGB,37.47,"2,501,500",Black / Silver,,
Vetroo U6 Pro,34.99,"7,001,500",Black,,
Antec A30,,1750,,,
Corsair H80i v2,,2435,,120,
Cooler Master MasterAir MA612 Stealth,53.12,"6,501,800",,,
Deepcool Castle 240 RGB V2,,"5,001,800",Black,240,
TEAMGROUP SIREN GD360E,110.99,"6,002,200",White,360,
ID-COOLING ZOOMFLOW 360 XT,99.99,"5,001,500",Black,360,
CRYORIG M9a,,"6,002,200",,,
Scythe Mugen 5 PCGH Edition,,"300,800",Silver / Black,,
Thermalright Frozen Edge,,2150,White,360,
Deepcool R-AN600-BKNNMN-G,51.14,"5,001,850",Black / Silver,,
Cooler Master MasterAir MA624 Stealth,62,"6,501,400",Black,,
Scythe Mugen 6,46.99,"3,002,000",Black,,
Silverstone IceMyst 360,145.72,"5,002,200",Silver / Black,360,
Lian Li Galahad AIO360 (2022),249.95,"8,001,900",White / Silver,360,
ENDORFY Fera 5 ARGB,58.03,"2,501,800",Black / Silver,,
ENDORFY Fortis 5 ARGB,76.03,"2,501,400",Black / Silver,,
KOLINK Umbra EX180,,"8,001,800",Black,,
ID-COOLING PINKFLOW 240 Diamond,99.99,"9,002,000",Pink,240,
Alphacool Eisbaer Pro Aurora,284.22,,Black,420,
Noctua NH-U12DXi4,74.95,"3,001,500",,,
Thermaltake TOUGHAIR 310,39.99,"5,002,000",Black / Gray,,
Lian Li GALAHAD AIO 240 RGB,,"8,001,900",White / Silver,240,
Thermalright Frozen Vision 360,,2150,Black,360,
Asus ROG STRIX LC 360 RGB White Edition,249.99,"8,002,500",White,360,
Thermaltake TH280 V2 ARGB Sync,109.99,"5,001,800",White,280,
Cooler Master Wraith Ripper,269,,Black,,
Alphacool Core Ocean T38,100.19,,Black,420,
Thermaltake TH420 V2 ARGB Sync,135.99,"5,001,800",Black,420,
Gigabyte AORUS ATC800,215,"6,002,000",Black,,
Thermaltake TOUGHAIR 510,46.99,"5,002,000",Black / Gray,,
KOLINK Umbra EX180 Black Edition,42.48,"8,001,800",Black,,
Scythe Big Shuriken 3 Rev.B,,"3,001,800",Black / Silver,,
Zalman CNPS9X Performa ARGB,19.99,"7,001,800",White,,
EK AIO 360 D-RGB,,"4,502,600",Black,360,
Thermalright Silver Soul 135,32.9,1850,Silver,,
ARCTIC Freezer i13 X,19.99,"3,002,000",Black / White,,
Cooler Master Hyper 212 LED,47.8,"6,001,600",,,
Enermax ETS-T40F-TB,28.99,"9,001,800",,,
Corsair iCUE H60i RGB PRO XT,,2400,Black,120,
Corsair H115i PRO,249.99,1200,,280,
ID-COOLING SE-214-XT,,"5,001,500",,,
Cooler Master Hyper T20,30.74,2000,Black / Silver,,
Thermaltake TH360 ARGB Sync,103.99,1500,Black,360,
ENDORFY Navis F360 ARGB,164.11,"2,501,800",Black,360,
ID-COOLING FROZN A720 BLACK,69.98,"5,002,000",Black,,
Thermaltake TH360 ARGB Sync,101.99,1500,White,360,
ARCTIC Liquid Freezer 360,,"5,001,350",,360,
Geometric Future Eskimo Junior 36,119.9,2000,White,360,
ID-COOLING SL360,,"5,002,000",Black,360,
ARCTIC Freezer 4U-M,84.99,"4,002,300",Black / Silver,,
Enermax Liqmax III 240 ARGB,73.99,"5,001,600",Black,240,
ID-COOLING SE-226-XT,,"5,001,500",Black,,
Aerocool Cylon 4,51.2,"8,001,800",Black,,
Scythe Kotetsu Mark 3,29.99,"3,001,500",Black / Silver,,
EVGA CLCx 240,99.99,,Black,240,
Antec VORTEX 240,99.45,"6,002,000",Black,240,
Cooler Master MasterLiquid 240,124.99,"6,502,000",,240,
Thermalright Frost Spirit 140,,1500,Gray,,
ID-COOLING SE-207-XT SLIM SNOW,,"7,001,800",White,,
Thermaltake TH360 V2 Ultra ARGB Sync,169.99,"5,001,800",Blue / White,360,
Thermalright Frozen Warframe ARGB,,2000,White,360,
Fractal Design Lumen S28 V2,156.9,"5,001,700",Black,280,
Amazon Basics,30.05,"6,002,000",,,
Asus ROG RYUJIN II,182.49,"4,502,000",Black,240,
Alphacool Eisbaer Aurora 420,273.37,"6,001,500",Black,420,
RAIJINTEK JUNO-X,38.76,"12,002,500",Black,,
ID-COOLING FROZN A610,49.99,"5,002,000",Black,,
ID-COOLING IS-40X,26.99,"6,002,500",Black / White,,
Yeston zeaginal Sakura,119.9,"9,001,800",White,360,
be quiet! Shadow Rock Slim 2,44.9,1400,Black,,
Thermaltake TH120 ARGB Sync,63.99,1500,White,120,
ENDORFY Navis F360,152.11,"2,501,800",Black,360,
Thermaltake TOUGHLIQUID Ultra RGB,279.99,"5,002,000",Black,420,
Thermaltake TH280 V2 Ultra ARGB Sync,134.99,"5,002,000",Black,280,
Thermalright Aqua Elite ARGB V2,,2000,,240,
Enermax ETS-T50 AXE ARGB,45.99,"5,001,600",White,,
Gigabyte AORUS WATERFORCE X,199.99,2300,Black,280,
Antec Symphony ARGB,157.78,"8,001,600",Black,360,
ARCTIC Freezer 34 eSports,50.69,"2,002,100",Red / Black,,
Iceberg Thermal IceSLEET G6 Stealth,37.99,"6,001,400",Black / Blue,,
Alphacool Core Ocean T38,84.99,,Black,240,
Deepcool CASTLE 360EX,,"5,001,800",Black,360,
Silverstone Hydrogon D120 ARGB V2,71.61,,Black / Silver,,
Thermalright AXP90-X53,,2700,Black,,
Thermalright Frozen Warframe ARGB,,2000,Black,240,
KOLINK Umbra Void,,2200,Black,360,
ENDORFY Spartan 5,35.19,"2,501,500",Black / Silver,,
Thermaltake Floe DX RGB TT Premium Edition B,,"5,001,500",Black,360,
ID-COOLING FROSTFLOW X,,"7,001,800",,120,
ARCTIC Liquid Freezer II 120,,"2,001,800",Black,120,
ID-COOLING PINKFLOW 360,,"9,002,000",Pink,360,
Fractal Design Celsius+ S36 Prisma PWM ARGB,247.53,"5,002,000",Black,360,
ENDORFY Fortis 5 Dual Fan,68.73,"2,501,400",Black / Silver,,
Cooler Master Hyper 212 LED Turbo White Edition,,"6,001,600",White,,
BitFenix Cube ARGB,99.9,2000,White,360,
Gelid Solutions Liquid 360,99.99,"7,501,800",Black,360,
Silverstone AR12 RGB,38.42,"7,002,200",Silver / Black,,
ARCTIC Alpine 12,,"1,002,000",Black / White,,
Corsair H115i,224.98,2000,,280,
ID-COOLING SL240,99.99,"5,002,000",Black,240,
ID-COOLING SE-224-XTS ARGB,,"6,001,500",Black,,
MSI MPG CORELIQUID K240,168,,Black,240,
Cooler Master MasterLiquid ML120R RGB,124.99,"6,502,000",,120,
Corsair H100,306.63,"13,002,500",,240,
Cooler Master Hyper 212X,,"6,002,000",,,
Fractal Design Celsius S36,,"5,002,000",,360,
Cooler Master MA621P TR4,623.23,"6,001,800",Black / Silver,,
CRYORIG H7 Quad Lumi,109.33,"3,301,600",,,
BitFenix Cube ARGB,99.9,2000,Black,360,
Jonsbo CR-1400 EVO ARGB Black,42.2,"8,002,200",Black,,
Scythe Big Shuriken 3,,"3,001,800",Black / Silver,,
be quiet! Pure Loop 2,79.9,,Black,120,
Deepcool AG400 LED,,"5,002,000",Black / Silver,,
Scythe Ninja 5 Rev. B,64.98,"300,800",Black,,
Alphacool Eisbaer Aurora 360,211.64,"8,002,000",Black,360,
ENDORFY Navis F240,119.56,"2,501,800",Black,240,
Fractal Design Celsius S36 Blackout,,"5,002,000",Black,360,
Enermax LIQMAXFLO 360,80.74,"5,001,800",Black,360,
ID-COOLING SE-207-XT SLIM,,"7,001,800",,,
Thermalright Assassin King 120,,1500,White / Silver,,
Thermaltake TH240 V2 Ultra ARGB Sync,149.99,"5,001,800",White,240,
ID-COOLING IS-47S,,"8,003,600",,,
Silverstone Hydrogon H90 ARGB,,"5,002,600",Black / Silver,,
Cooler Master i71C RGB,,"6,501,800",Black,,
Thermaltake TH420 V2 ARGB Sync,135.99,"5,001,800",White,420,
Gigabyte AORUS WATERFORCE II 360 ICE,,"8,002,300",White,360,
Gigabyte AORUS WATERFORCE 280,,"9,502,150",Black,280,
Lian Li Galahad AIO360 (2022),,"8,001,900",Black / Silver,360,
Alphacool Core Ocean T38,,,Black,280,
Enermax Liqmax III 120 HF,54.32,"5,002,000",Black,120,
TEAMGROUP SIREN GD360E,109.99,"6,002,200",Black,360,
Deepcool GAMMAXX GTE V2,,"5,001,650",White,,
Corsair H50,,1700,,120,
Phanteks GLACIER ONE 240D30,,"2,502,000",Black,240,
Thermaltake Contac Silent 12,29.99,"4,001,500",,,
Deepcool GAMMAXX L240 A-RGB,319.81,"5,001,800",Black,240,
Thermalright Aqua Elite ARGB,,1550,White,240,
Enermax AQUAFUSION ADV,78.99,"5,002,000",White,240,
Cooler Master I70,,1800,Black / Silver,,
Deepcool GAMMAXX 200T,,"9,001,600",,,
NZXT Kraken X62 Rev 2,,"5,001,800",,280,
Thermaltake TH240 V2 Ultra ARGB Sync,135.99,"5,001,800",Black,240,
Mars Gaming ML-ONE,,"6,001,800",Black,120,
EVGA CLC 240,142.5,"5,002,400",,240,
CRYORIG C7,,"6,002,500",,,
ID-COOLING DASHFLOW XT LITE,79.98,"5,002,000",Black,360,
Thermaltake TH420 ARGB Sync,189.98,"5,001,800",Black,420,
Gigabyte AORUS WATERFORCE II 360,,"8,002,300",Black,360,
LC-Power LC-CC-120-RGB,46.33,"8,001,800",Black,,
ID-COOLING ZOOMFLOW 240 XT,,"5,001,500",Black,240,
Intel BXXTS100H,,"8,001,800",,,
Phanteks Glacier One 240 T30 Gen2,,"12,003,000",Black / Gray,240,
Asus TUF Gaming LC 120 RGB,,"8,002,000",Black,120,
ID-COOLING FROZN A410 DK,,"5,002,000",Black,,
Deepcool LE300,,"5,002,250",Black,120,
Asus ROG RYUJIN II 360 ARGB EVA Edition,,,Silver / Black,360,
ID-COOLING PINKFLOW 240 V2,,"9,002,000",Pink,240,
Jonsbo HX4170D,171.02,"6,003,300",White,,
Cooler Master MasterAir MA620M,150.9,"6,502,000",Black,,
ARCTIC Freezer 7 Pro Rev.2,,"9,002,500",,,
Corsair H55,,1700,,120,
Thermalright Aqua Elite ARGB V2,,2000,,360,
Antec A40PRO,47.34,"8,002,200",,,
GAMDIAS CHIONE P3-360U,,"8,002,000",Black,360,
ARCTIC Freezer A35,42.23,"2,001,800",Black / White,,
Thermalright Peerless Assassin MINI,,1500,White,,
Deepcool Ice Edge Mini FS V2.0,,2200,,,
Cooler Master Hyper TX3 Evo,,"8,002,200",,,
EK AIO 120 D-RGB,,"4,502,600",Black,120,
Noctua NH-L12,,"12,001,600",,,
Deepcool GAMMAXX L360 A-RGB,,"5,001,800",Black,360,
Iceberg Thermal IceFLOE OASIS 240,79.98,"2,002,200",Black,240,
Vetroo Shadow,,"8,002,500",Black,,
Deepcool AG400 DIGITAL PLUS,,"5,002,100",Black,,
Cooler Master i70C,22.3,"6,501,800",Black / Silver,,
EVGA CLC 360,,"5,002,400",Black,360,
Thermaltake TH240 ARGB Sync,121.11,1500,White,240,
Thermaltake TH280 V2 ARGB Sync,109.99,"5,001,800",Green,280,
Thermaltake TOUGHAIR 110,34.99,"5,002,000",Black / Silver,,
MSI MAG CORELIQUID R,92.56,"5,002,000",Black,240,
Jonsbo HX4170D,,"6,003,300",Black,,
ID-COOLING SE-914-XT,,"6,002,200",Black / Gray,,
be quiet! Pure Loop 120,100.32,,Black,120,
Deepcool LS320,89.99,"5,002,250",Black,120,
Scythe Ninja 5,,"300,800",Black,,
NZXT Kraken X61,,"8,002,000",,280,
Thermaltake Water 3.0 120 ARGB Sync,,"5,001,500",Black,120,
Montech AIR COOLER 210,75.31,"6,001,500",Black,,
Thermalright SI-100,,2000,Gray,,
Deepcool AG500 ARGB,51.27,"3,001,850",Black / Silver,,
be quiet! Dark Rock Pro 3,,"14,001,700",,,
Thermalright Frost Tower 120,,1850,,,
Deepcool GAMMAXX 400 XT,,"5,001,500",Black,,
Enermax ETS-N31-02,20.98,"8,002,000",Black / Silver,,
Cooler Master MasterAIR G200P,78.98,"8,002,000",Black / Silver,,
Silverstone IceMyst 420,162.99,"4,001,750",Silver / Black,420,
Antec Symphony ARGB,146.63,"8,001,600",Black,240,
Alphacool Eisbaer 420,169.9,1100,Black / Blue,420,
Cooler Master MasterLiquid ML360 Mirror,249,"6,501,800",Black,360,
Phanteks Glacier One 240 T30,,"12,003,000",Gray,240,
Antec Symphony ARGB,,"8,001,600",White,360,
Corsair H100i GTX,272.64,2435,,240,
Corsair H60,,,,120,
Deepcool CASTLE 240EX A-RGB,,"5,001,800",White / Black,240,
Deepcool LE300 Marrs,,"5,002,250",Black,120,
Deepcool GAMMAXX 300,,"9,001,600",,,
Thermaltake TH420 ARGB Sync,135.79,"5,001,800",White,420,
ARCTIC Freezer i35,38.99,"2,001,800",Black / White,,
Montech METAL DT24 BASE,49.99,"8,001,950",Black / Silver,,
Asus ROG STRIX LC 120 RGB,192.36,"8,002,500",Black,120,
Thermaltake UX200 ARGB,37.99,"3,001,500",Black,,
Silverstone VIDA 240 SLIM,126.99,"3,001,800",Black,240,
Deepcool GAMMAXX 400 Blue,,"9,001,500",Blue / Silver,,
BitFenix Cube ARGB,79.9,2000,Black,240,
be quiet! Shadow Rock TF 2,91.05,1400,Silver / Black,,
Corsair H75 2018,142.47,1900,Black,120,
Xilence M705D,,"7,001,600",Black,,
Lian Li GALAHAD AIO 240 RGB,,"8,001,900",Black / Silver,240,
Jonsbo CR-1400 EVO Color Black,24.88,"8,002,200",Black,,
ID-COOLING DK,,"5,001,800",Black / Silver,,
Alphacool Eisbaer 360,156.59,"5,501,700",Black,360,
Dynatron R24,39.95,"15,007,000",,,
Alpenföhn BEN NEVIS,,"4,001,600",,,
Fractal Design Lumen S36 RGB,,"5,002,000",Black,360,
Iceberg Thermal IceSLEET G4 Silent,19.98,"6,001,200",Black / Gray,,
NZXT Kraken X41,,"8,002,000",,140,
MSI MAG CORELIQUID C280,,"5,001,800",Black,280,
MSI MAG CORELIQUID R,141.27,"5,001,800",Black,280,
Scythe Shuriken 2,,"3,002,500",Black / Silver,,
Deepcool LS320 WH,65.05,"5,002,250",White,120,
Thermaltake TOUGHLIQUID Ultra,199.99,"5,002,500",Black,240,
Thermalright Frozen Vision 240,,"215,021,500",Black,240,
Jonsbo CR-3000 ARGB,49.45,"6,001,500",White,,
ARCTIC Alpine 12 CO,20.82,"1,002,700",Black / Gray,,
ID-COOLING FROSTFLOW X,,"7,001,800",,360,
Thermaltake Water 3.0 360 ARGB Sync Edition,,"5,001,500",Black,360,
Corsair H80i GT,,2435,,120,
Thermalright Frost Spirit 140 V3 ARGB,,1500,White,,
Thermaltake TH240 ARGB Sync,,1500,Black,240,
Thermalright AXP90-X53,,2700,Black,,
Thermalright Frost Spirit 140 V3 WHITE,,1500,White,,
ID-COOLING AURAFLOW X 240 EVO SNOW,,"7,001,800",White,240,
Deepcool AK620 ZERO DARK ZORIA,95.45,"5,001,850",Orange / Black,,
Asus ROG Ryujin 240 RGB AIO,230,"4,502,000",Black,240,
ARCTIC Freezer 34,,"2,001,800",Black / Silver,,
MSI MPG CORELIQUID D240,169,,Black,240,
Jonsbo CR-1000 EVO ARGB White,25.99,"6,001,500",White,,
Valkyrie SYN,,"8,002,150",White / Blue,360,
Asus ROG STRIX LC 240 RGB White Edition,184.99,"8,002,500",White,240,
Silverstone NT09-115X,15.29,"5,502,500",,,
Gelid Solutions Liquid 240,84.95,"7,501,800",Black,240,
Cooler Master MasterAir MA410M,96.23,"6,501,800",Black,,
MSI MPG CORELIQUID K240 V2,168.98,,Black,240,
Phanteks GLACIER ONE 240D30,,"2,502,000",White,240,
Mars Gaming MCPU-XT,64.48,"8,001,600",Black,,
be quiet! Silent Loop 2 120,133.18,2200,Black,120,
Cooler Master MasterAir MA610P ARGB,112.53,"6,501,800",,,
SilentiumPC Fera 5,,"3,001,800",Black / Silver,,
