name,price,memory,core_clock,color
Gigabyte EAGLE,,8,1500,Black / Silver
MSI VENTUS OC,,8,1605,Black / Silver
ASRock RX 5700 XT Phantom Gaming D 8G OC,,8,1690,Black / Red
Asus DUAL EVO OC,,8,1650,Black
Gigabyte GAMING,,6,1530,Black
PNY XLR8 Gaming REVEL EPIC-X RGB,,8,1500,Black / Silver
PNY XLR8 Gaming REVEL EPIC-X RGB,,8,1410,Black
Zotac GAMING AMP Extreme AIRO,,24,2235,White
PNY T-Series,178,4,420,Black / Gray
Palit StormX OC,,8,2310,Black
MSI EVOKE OC,,8,1690,Gold
PNY XLR8 Gaming REVEL EPIC-X RGB,321.8,8,1552,Black / Red
Gigabyte GAMING,,24,2235,Black
Gigabyte AORUS,,4,1257,Black / Orange
GALAX 1-Click OC 3X,,12,1920,Black
Asus STRIX LC GAMING OC,,24,1560,Silver / Black
MSI Radeon RX 5700 XT GAMING,,8,1630,Silver / Black
Asus TUF GAMING,,24,1395,Black
MSI VENTUS 3X,1299,16,2205,Black
Asus Turbo,1289,11,1350,Black
Asus ROG STRIX GAMING OC,,12,2150,Black / Gray
Gigabyte WINDFORCE,1149.99,16,2205,Black / Silver
Zotac AMP,,8,1607,Black
Zotac GAMING Trinity,,24,1395,Black
GALAX SG (1-Click OC),,24,2235,Black
MSI Gaming X NV Edition,,8,1830,Green / Black
Asus DUAL OC,,12,2321,Black / Silver
Sapphire PULSE,,8,1607,Black
Zotac GAMING AMP AIRO,,12,1920,Black
GALAX (1-click OC),,16,2340,Black
Sapphire NITRO+,,8,1121,Black
EVGA SSC GAMING ACX 3.0,,4,1366,Black
Asus CERBERUS,,8,1607,Black / Red
Asus Phoenix OC,,4,1530,Black / White
MSI SUPRIM,,12,2310,Black / Silver
Yeston Sakura,,12,2495,White / Blue
PNY XLR8 Gaming VERTO OC,449.99,16,2310,Black
MSI VENTUS 3X PLUS OC,899,10,1440,Black
MSI VENTUS 2X 8GD6X OC,,8,1410,Black
Gigabyte GV-N105TOC-4GD,408.99,4,1341,Black / Orange
Zotac GAMING Twin Edge,,8,1500,Black
Gigabyte AORUS XTREME,,24,1395,Black
Gigabyte GV-R455HM-512I,,0.125,600,Black / Blue
MSI GAMING,,4,970,Black / Red
PowerColor Red Devil Limited Edition,,24,2300,Black
Zotac GAMING Twin Edge OC Spider-Man: Across the Spider-Verse,509.06,8,2310,Black
Inno3D X3,,16,2205,Black
Gigabyte AORUS XTREME WATERFORCE,,12,2310,Black
Asus Phoenix EVO,249,4,1100,Black
Gigabyte GAMING OC,1725,24,1560,Black
Zotac ZT-90101-10P,,4,1076,Black / White
MSI VENTUS 3X,,12,1365,Black / Silver
Gigabyte AORUS MASTER,1658.48,16,2205,Black
Sapphire NITRO+,776.95,16,1700,Black / Silver
Asus DUAL OC,840,8,1410,Black / Silver
XFX Speedster SWFT 319,769.99,16,1825,Black
Zotac GAMING AMP AIRO,,12,2310,Black
PNY XLR8 Gaming Overclocked Edition,,6,1530,Black
MSI RADEON RX 460 2G OC,,2,1090,Black / White
Zotac GAMING Low Profile,,4,1485,Black
Asus STRIX GAMING OC,,8,1168,Black
MSI VENTUS 3X,,12,1920,Silver / Black
AMD 100-300000078,429,8,1500,Black
Zotac AMP,4299.46,11,1569,Black
Palit Dual,478.55,8,2310,Black
Zotac GAMING,,6,1530,Black
Asus ROG STRIX WHITE OC V2,,8,1500,White
Gigabyte AORUS ELITE Rev 2.0,492,8,1410,Black
EVGA FTW3 ULTRA GAMING,1289,8,1650,Transparent / Black
Zotac GAMING Trinity,,12,1920,Black
MSI GAMING X TRIO,539,8,1410,Black / Silver
PNY XLR8 Gaming REVEL EPIC-X RGB Dual Fan,449.73,12,1320,Black
PowerColor Hellhound,,8,1968,Black
Gigabyte GAMING 8G,,8,1469,Black / Orange
Gigabyte AORUS,,8,1770,Black
ASRock Phantom Gaming D OC,,16,1700,Black / Silver
AMD 100-438370,,16,1825,Black / Silver
AMD 100-506085,229,8,1243,Blue / Silver
EVGA 02G-P3-3733-KR,,2,902,Black / Green
MSI Radeon RX 6800 GAMING X TRIO 16G,1115.48,16,1700,Black / Silver
MSI DUKE,499,8,1607,Black
EVGA 02G-P3-2712-KR,93,2,954,Black
PNY VCQM6000-24GB-PB,,24,988,Black / Green
Asus ProArt,,16,2310,Black / Gold
MSI AERO,,8,1632,Black / Silver
Asus ROG STRIX GAMING OC,,8,1550,Black / Silver
AMD FirePro 2270,,0.5,600,Black / Red
Zotac MINI,,3,1506,Black / Gray
Gigabyte GAMING OC,,6,1365,Black
Asus DUAL EVO,,8,1635,Black
Asus RX5700XT-8G,,8,1605,Silver
Asus DUAL,,8,1500,Black
NVIDIA 900-1G500-2500-000,1499,12,1200,Black / Gold
Gigabyte AORUS XTREME ICE,,16,2210,White / Gold
MSI Radeon RX 6600 ARMOR 8G V1,,8,1626,Black / Silver
Asus Noctua OC,,8,1500,Brown / Black
MSI GAMING X,,4,926,Black / Red
MSI Radeon RX 5500 XT MECH 4G OC,,4,1647,Black
PowerColor Red Dragon,,6,1247,Black / Silver
GALAX EX,,6,1530,Black
GALAX (1-click OC),,12,1320,Black
EVGA XC3 GAMING,,12,1365,Black
KFA2 SG (1-Click OC),,16,2210,Black
Gigabyte GAMING OC,1239.9,12,1260,Black / Silver
PNY VCQK4200-PB,87.99,4,771,Black / Silver
Asus Turbo EVO,595,8,1500,Black
Gigabyte EAGLE OC,,8,1665,Black / Silver
Sapphire NITRO+ SE,,8,1840,Black / Silver
Gigabyte WINDFORCE,,6,1064,Black
Asus STRIX,,8,1506,Black
EVGA SC GAMING,,2,1417,Black
Colorful iGame Advanced OC-V,,8,1500,Silver / Black
PNY Blower,,11,1480,Black / White
EVGA GeForce RTX 2060 SC Ultra GAMING,,6,1365,Black
Asus DUAL,,8,1410,White
Asus GT610-2GD3-CSM,,2,810,Black / Blue
EVGA FTW2 GAMING iCX,,8,1721,Black / Gray
Asus STRIX GAMING OC,,6,1500,Black
Asus ROG STRIX GAMING,,8,1575,Black / Silver
ASRock Taichi X OC,789,16,1825,Black
Asus KO GAMING OC V2,659,8,1410,Silver / Black
Zotac ZT-70601-10M,470,2,1033,Black / Orange
Asus KO OC,399,8,1410,Black / Silver
XFX Speedster MERC 319 Black,,12,2150,Silver / Black
MSI GTX 960 2GD5,,2,1127,Black
Palit JetStream,,8,1470,Silver / Black
EVGA FTW3 ULTRA HYBRID GAMING,,24,1560,Black
ASRock RX6500XT CLI 4G:,,4,2310,Black
Asus TUF GAMING OC,377.9,8,1550,Black
Asus Phoenix Fan,,3,1506,Black / White
Zotac GAMING,,6,1365,Silver / Black
ASRock Challenger Pro OC,,16,1700,Black / Silver
EVGA SSC ACX 2.0,,2,1190,Black
Gigabyte GV-N710D3-2GL 1.0,,2,954,Black
Asus DUAL,,4,1257,Black / White
Gigabyte GAMING OC,,11,1350,
EVGA XC GAMING,,6,1500,Black
Gigabyte AORUS,,8,1650,Black
EVGA FTW3 GAMING,,8,1500,Black / Silver
ASRock Radeon RX6700XT 12G,,12,2321,Silver / Black
Zotac GAMING Trinity OC,,10,1440,White
PNY VCQP5000-PB,594.99,16,1607,Black / Green
NVIDIA Star Wars Galactic Empire,999,12,1481,Black / Red
EVGA 01G-P3-1302-LR,84.45,1,520,Black / Green
VisionTek 900356,60.15,2,,Black / Red
PNY VCQM4000-PB,,8,,Black / Green
Gigabyte AORUS MASTER,,8,1410,Black
Asus ROG STRIX,,8,1247,Black / Red
Gigabyte WINDFORCE OC,,11,1350,Black
MSI VENTUS OC,,8,1470,Black / Silver
Zotac GAMING Twin Edge,,8,1500,Black
MSI MECH 2X,,12,2150,Silver / Black
GALAX EX,,8,2310,Black
Gainward Phoenix GS,,16,2340,Black
AMD 100-506208,569.99,8,2331,Blue
MSI D6 GAMING X,234.29,4,1410,Black
XFX Speedster QICK 308 ULTRA,,8,2055,Black / Silver
Zotac GAMING Trinity OC,1349.99,10,1440,Gray
Gigabyte AORUS ELITE,,12,2321,Black
Gainward NE6306T019P2-190AB,495,8,1410,Black
EVGA FTW3 HYBRID GAMING,,11,1569,Black
Zotac ZT-P10620A-10M,,6,1506,Black
GALAX Hydro,,24,2235,Black
Inno3D X3,,16,2340,Black / Silver
MSI GAMING SLIM MLG,649.99,12,1980,Black / Red
Colorful NB EX-V,,12,2310,Black / Red
MSI GeForce RTX 3070 SUPRIM 8G,,8,1500,Black / Silver
Gainward Panther OC,,16,2310,Black
GALAX EX,,4,1485,Black
PNY Dual,,8,1470,Black
XFX THICC II Pro,,8,1607,Black / Red
MSI GeForce RTX 3090 VENTUS 3X 24G,,24,1395,Black
KFA2 EX,,8,2310,White
Asus DUAL,,4,1923,Black
Gigabyte AORUS MASTER,1790,24,1395,Black
MSI ARMOR OC,489,8,1168,Black / White
Asus Turbo,,8,1515,Black
Gigabyte GAMING OC PRO,476,8,1968,Black / Silver
Asus STRIX,379,4,1178,Black / Red
Asus GTX750TI-PH-2GD5,,2,1020,Black
MSI AERO,,8,1531,Black / Silver
MSI VENTUS XS,,6,1500,Black / White
Gigabyte GAMING OC 3X,,8,1605,White
ASRock OC Formula,,16,1890,Green / Black
PowerColor Low Profile,,4,1923,Black / Silver
Gigabyte AORUS MASTER,1899,16,1825,Black
Sapphire TOXIC Limited Edition,1138.63,16,1825,Black
AMD 100-300000006,999.99,16,1900,
ASRock Phantom Gaming D,,8,2200,Black
MSI VENTUS OC,,8,1515,Silver / Black
Sapphire PULSE,465.89,8,1208,Black / Red
Asus ProArt,,16,2205,Black
EVGA FTW2 GAMING iCX,699,8,1607,Black / Silver
ASRock Phantom Gaming D OC,,8,1968,Black
Zotac AMP Extreme Core Holo,,24,1560,Black
Asus DUAL,,6,1040,Black
Inno3D iChill X3,,24,2235,Black
MSI GT OC,,3,1544,Black / White
EVGA SC2 HYBRID GAMING,,11,1556,Black / Silver
Zotac AMP Extreme,549,8,1607,Black / Yellow
ASRock RX6900XT 16G,,16,1825,Black / Silver
XFX THICC III Ultra 2,,8,1810,Black / Silver
Gigabyte AORUS XTREME WATERFORCE,1879,10,1440,Black / Silver
Inno3D X3 OC,,16,2205,Black
Inno3D Twin X2 OC,368.55,8,1830,Black / Silver
Palit GameRock,,16,2205,Black
AMD 100-300000077,579,8,1720,Black
Zotac GAMING Twin Edge OC,569.99,8,1500,Black
ASRock Taichi OC,,20,2000,Black
Zotac GAMING Twin Edge OC,,8,1410,Black
MSI AERO,,11,1506,Black / Green
Inno3D Twin X2,,6,1500,Black
Gigabyte MINI ITX OC,,6,1530,Black / Silver
XFX Black Edition,249.95,8,1405,Black / White
Asus ROG STRIX GAMING Advanced,,16,2310,Black / Red
EVGA SC2 Gaming iCX,426,8,1594,White / Black
PNY XLR8 Gaming REVEL EPIC-X RGB,,8,1575,Black / Silver
EVGA Founders Edition,,8,1506,Black / Silver
Zotac AMP Extreme,,8,1632,Black
Asus ROG-STRIX-RTX3080-O10G-GUNDAM,,10,1440,White / Silver
GALAX Hydro,,24,2235,White
Asus ProArt,,8,1830,Black / Gold
GALAX SG (1-Click OC),,16,2205,Black
Gigabyte GAMING OC PRO Rev 3.0,598.76,8,1410,Black
Zotac GAMING AMP Extreme AIRO,1449.9,16,2205,Black
Gigabyte AORUS MASTER,1445.06,12,2310,Black
Inno3D X3 OC,1088.11,12,1920,Black / Silver
Gigabyte OC,249.99,2,1379,Black / Orange
Asus TUF GAMING OC,799.99,8,1410,Black
EVGA FTW3 ULTRA HYBRID GAMING iCX3,1470,12,1365,Black
EVGA SSC GAMING,349.99,3,1607,Black / Silver
Palit StormX,,12,1320,Black
Gigabyte GAMING OC,,8,1620,White / Black
Asus DUAL OC,,6,1500,Black / White
PowerColor AXRX 5700XT 8GBD6-M3DH,,8,1605,Silver
Inno3D Twin X2 OC,,4,1530,Black
GALAX EX Gamer (1-Click OC),,16,2340,White
MSI Radeon RX 6900 XT GAMING Z TRIO 16G,1130.22,16,1825,Silver / Black
XFX Speedster MERC 308 Black,425.99,8,2188,Black
Gigabyte EAGLE OC Rev 2.0,563.29,8,1500,Black
Asus ROG STRIX GAMING OC V2,629,8,1500,Black / Silver
Sapphire NITRO+,,16,1890,Silver / Black
MSI D6 VENTUS XS,,4,1410,Black / Silver
Palit GamingPro,,12,1365,Black / Silver
EVGA 02G-P4-2662-KR,,2,1046,Black / Silver
Zotac AMP,,8,1683,Black / Yellow
Gigabyte GAMING,,3,1620,Black / Orange
MSI ARMOR MK2 OC,,8,1340,Red / Black
EVGA XC ULTRA GAMING,,8,1410,Clear / Black
Gigabyte GAMING OC,,6,1500,Black / Gray
XFX DD Ultra,,8,1565,Black
Gigabyte TURBO,,24,1395,Black
Inno3D Twin X2,,8,1410,Black
EVGA XC3 GAMING,,8,1575,Black
Gainward Phoenix,,10,1440,Silver / Black
Gainward Phoenix V1,,8,1500,Silver / Black
Asus TUF-RTX3060-O12G-DEMONSLAYER,,12,1320,Orange / Black
Gainward Phoenix,,16,2210,Black
Asus ROG-STRIX-LC-RX6900XT-T16G-GAMING,1929.82,16,1825,Black / Silver
XFX R9-290X ENFC,214.99,4,772,Black / Red
EVGA 01G-P4-2650-KR,171.86,1,1058,Black / Silver
Asus ROG STRIX,379,8,1120,Black
Palit GameRock,,10,1440,Black
EVGA ACX 3.0,598,8,1607,Black / Silver
MSI ARMOR,,8,1257,Black / White
ASRock Phantom Gaming D,,8,1168,Black
GALAX EX,,8,1605,Black
Asus DUAL EVO OC,,8,1515,Black
Gigabyte OC,,8,1647,Black / Gray
Gigabyte GAMING 8G,,8,1257,Black / Orange
Palit GamingPro,,8,1500,Black / Silver
MSI GAMING X,,6,1530,Black / Silver
Gigabyte EAGLE,,8,1410,Black
Asus RX6800XT-16G,,16,1825,Black / Silver
MSI VENTUS 3X,,8,1575,Black / Silver
MSI VENTUS 2X,,6,1040,Black
Gigabyte GV-N730D5-2GL,116.9,2,902,Black
Asus DUAL EVO OC,,8,1607,Black
Gigabyte WINDFORCE,,8,1632,Black / Orange
EVGA FTW ACX,,2,1189,Black / Silver
MSI GAMING,,4,1152,Black / Red
EVGA ACX 2.0,,4,1290,Black
Asus ROG-STRIX-GTX1080-O8G-11GBPS,,8,1721,Black
Zotac MINI,,11,1506,Black
AMD 100-506062,,16,1500,Gold / Blue
Inno3D Twin X2,,6,1365,Black
Gigabyte TURBO,,11,1350,Black / Silver
XFX Triple Dissipation,,8,1605,Black
Asus DUAL MINI OC,,8,1410,Black
Palit GameRock,,8,1575,Silver
MSI Radeon RX 6600 XT MECH 2X 8G V1,,8,1968,Black / Silver
Asus DUAL,,8,2310,Black
GALAX SG (1-Click OC),,16,2210,Black
AMD RADEON PRO WX 5100,229.96,8,926,Blue
PNY VCQK2200-PB,117,4,1046,Black / Green
Gigabyte AORUS MASTER,1449.99,12,1260,Black
MSI GeForce GTX 1630 VENTUS XS 4G OC,168.88,4,1740,Silver / Black
MSI GAMING X TRIO,699,11,1569,
MSI GAMING X,,4,1168,Black / Red
Asus GTX660-DC2O-2GD5,,2,1020,Black / Red
Asus TURBO-GTX970-OC-4GD5,,4,1088,White / Red
EVGA FTW ACX 2.0+,,6,1190,Black / Gold
MSI GAMING X,,4,1120,Black / Red
Gigabyte AORUS,,8,1257,Black / Orange
ASRock Phantom Gaming D OC,,6,1355,Black / Red
Gigabyte WINDFORCE OC,,6,1247,Black / Silver
PowerColor Hellhound,,8,2055,Black
MSI GAMING,,12,1320,Black
AMD 100-506095,262.99,8,1354,Blue / White
Inno3D X3 OC,,16,2210,White / Silver
EVGA XC3 ULTRA GAMING,1120,12,1260,Black
PNY VCQ410-PB,69,0.5,706,Black / Green
Asus R7240-2GD3-L,146.31,2,730,Black / Red
EVGA FTW ULTRA SILENT GAMING,699,8,1607,Black / Silver
EVGA FTW3 ELITE GAMING,,11,1569,Black
Asus CERBERUS,,4,1341,Black / Red
Gigabyte WINDFORCE,,6,1365,Black
EVGA XC ULTRA GAMING,,6,1365,Black
Gigabyte GAMING 8G,,8,1168,Black / Orange
Zotac GAMING OC,,4,1485,Black / Silver
EVGA XC ULTRA GAMING,,8,1470,Transparent
EVGA SC Ultra Black,,6,1530,Black
MSI MECH OC,,6,1185,Black / Silver
Asus TUF Gaming X3 EVO OC,,6,1247,Black / Silver
GALAX EX,,4,1530,Black
MSI GAMING TRIO,,16,2205,Black
Sapphire 11197-03-40G,179.99,3,950,Black / Silver
Palit GamingPro OC,,16,2340,Black / Silver
MSI GAMING,559.99,6,1365,Silver / Black
MSI GAMING Z TRIO,,16,1825,Black / Silver
VisionTek 900270,65,0.5,575,
Corsair CB-9060011-WW,,11,1569,Black / Gray
Sapphire PULSE,,4,1257,Black
Gigabyte GAMING OC,,8,1565,Black / Gray
EVGA Superclocked ACX,,3,967,Black / Silver
MSI TWIN FROZR,,2,1085,Black / Red
Gigabyte GV-N960WF2OC-4GD,,4,1216,Black
Asus STRIX-GTX970-DC2-4GD5,,4,1051,Black / Red
Gigabyte AORUS,,8,1470,Black
ASRock Challenger D OC,,8,1515,Black / Yellow
GALAX EX,,8,1470,Black / Clear
Zotac AMP Extreme,,8,1605,Black
XFX THICC II Ultra,,8,1730,Black
ASRock Taichi X OC+,,8,1810,Black / Gold
MSI Radeon RX 570 ARMOR 4G OCV1,,4,1168,Black / White
MSI GT LP OC,,4,1485,Black
PNY VCNRTXA1000LP-PB,,8,,Black
Sapphire Toxic Extreme Edition,1777.72,16,1825,Black
XFX Speedster MERC 319 Ultra,1799.99,16,1925,Black
Gigabyte GAMING,,2,1175,Black / Orange
MSI GT LP,61.04,1,954,Black
Inno3D iChill X4,,12,1365,Black / Silver
Palit Dual OC,490.42,8,2310,Black
Asus EVO,73.91,2,902,Blue
Asus DUAL OC V2,,8,2310,Black
EVGA GAMING,,6,1506,Black / Gray
EVGA GAMING,699,8,1607,Silver / Black
XFX Speedster MERC 319,,16,1700,Black
Asus DUAL,334.99,8,1320,Black
Asus GTX750-PHOC-1GD5,,1,1059,Black
Asus DUAL,,4,1290,White / Blue
Sapphire NITRO+,,8,1257,Black
Asus RX550-4G,,4,1100,Black / Red
Gigabyte GeForce RTX 2060 GAMING OC PRO WHITE 6G,,6,1680,White / Black
Zotac GAMING,,8,1650,Black
MSI TRI FROZR,,8,1410,Black
MSI VENTUS 2X,,8,1500,Black / Silver
Inno3D Twin X2,,8,1550,Black
Asus LP BRK OC,199.99,6,1040,Black
EVGA FTW3 BLACK GAMING,1599.95,24,1560,Black
PNY T-Series,339.99,4,1065,Black / Gray
Asus KO GAMING OC V2,530.79,8,1500,Black / Silver
Zotac AMP,,8,1771,Black
HP 20X24AT,1219.99,16,735,Black
Inno3D Twin X2 OC,,4,1485,Black
Palit StormX,,6,1500,Black
Asus STRIX GAMING OC,,8,1650,White
Sapphire NITRO+,,12,2150,Silver / Black
Asus DUAL OC V2,,4,1410,Black / Silver
NVIDIA 900-1G600-2500-00,,12,1000,Black / Silver
Zotac MINI,,2,1354,Black
Sapphire NITRO+,,4,1168,Black
MSI ARMOR OC,,8,1605,Black / White
Sapphire PULSE,,8,1168,Black / Silver
ASRock Challenger Pro OC,,8,1968,Black
Zotac GAMING AMP,,8,1410,White
Asus Noctua OC,,10,1440,Brown
Asus ProArt,,12,1920,Black
Asus ROG STRIX GAMING OC,449.99,8,2055,Black / Gray
PNY UPRISING,,8,1410,Black
PNY XLR8,,11,1506,Black
MSI ARMOR,,8,1410,Black / Silver
Asus STRIX-GTX750TI-DC2OC-4GD5,,4,1124,Black / Red
EVGA SC GAMING,,8,1708,Black / Silver
Asus DUAL OC,,6,1365,Black / Silver
MSI Radeon VII 16G,,16,1400,Silver
Asus STRIX GAMING,,6,1530,Black / Silver
Palit Dual OC,,8,1410,Black
PowerColor Red Dragon,,4,1100,Black / Red
Gigabyte AORUS XTREME WATERFORCE,,24,1395,Black
Inno3D iChill X4,,8,1575,Black / Silver
Asus ProArt,,12,1980,Black / Gold
MSI GeForce GTX 1630 AERO ITX 4G OC,,4,1740,Black
PNY VCQM5000-PB,218.15,8,861,Black / Green
Gainward Phantom GS,,24,2235,Black
XFX Speedster QICK 319 Core,,16,1700,Black
Zotac GAMING AMP Holo,,8,1500,Black
Gigabyte GV-N210D3-1GI REV5.0,,1,520,Black / Blue
Gigabyte WINDFORCE,,4,1137,Black
EVGA 04G-P4-2980-KR,359,4,1126,Black / Silver
MSI GAMING,,4,1020,Black / Red
Zotac ZT-71304-20L,,1,954,Black
Sapphire NITRO+,,8,1373,Black / Silver
Asus STRIX GAMING,,6,1365,Black
Asus Phoenix OC,,6,1500,Black / White
Zotac GAMING OC MINI,,8,1410,Black / Silver
Asus TUF Gaming X3 OC,,6,1530,Black
EVGA K|NGP|N HYBRID GAMING,,24,1395,Black
MSI VENTUS 2X BLACK,,8,2310,Black
AMD 100-505724,169.96,8,824,Black / Red
Asus DUAL MINI OC,238,4,1410,Black
Intel 23P04E00BA,,12,900,Black
Gigabyte WINDFORCE OC,,4,1665,Black / Silver
Inno3D X3 OC,,24,2235,Black
Asus ROG STRIX GAMING OC V2,,8,2055,Black / Silver
Asus DirectCU II,,2,1058,Black / Red
MSI TWIN FROZR,,2,1085,Black / Red
Gigabyte WINDFORCE,,2,1033,Black
Asus GTX980-4GD5,,4,1127,Black / Silver
Zotac AMP,,8,1607,Black
EVGA FTW3 HYBRID GAMING,,8,1721,Black / Silver
Gigabyte WINDFORCE,,4,1090,Black / Orange
Gigabyte GAMING,,2,1417,Black / Orange
PowerColor AXRX 560 4GBD5-DHA,345,4,115,Black
MSI GAMING,,6,1500,Black
PowerColor Red Dragon,,8,1469,Black
Gigabyte WINDFORCE OC,,6,1680,Black
Asus TUF Gaming X3 OC,,8,1650,Black
Sapphire NITRO+ PURE,,16,1890,White / Black
AMD 100-506163,1011.04,16,1400,Blue / Silver
Gainward Panther OC,,12,1980,Black
VisionTek SFF,112.45,2,800,Red
XFX RX-VEGMTBFX6,499,8,1247,Black / Red
PNY XLR8 Gaming VERTO EPIC-X RGB OC,329.99,8,1830,Black
EVGA 02G-P4-6332-KR,119.99,2,1290,
Asus ROG STRIX LC GAMING OC,1579.95,12,1365,Black / Silver
EVGA 02G-P3-1559-KR,,2,900,Black / Green
Sapphire NITRO+,,4,1208,Black / Silver
PowerColor Red Dragon,,4,1168,Black / Red
Gigabyte MINI ITX OC,,6,1365,Black
Gigabyte GAMING,,8,1545,Black / Orange
PNY VCG16504SSFPPB,,4,1530,Black
Palit GamingPro OC,,8,1500,Black
Asus ROG STRIX OC,427.74,8,1720,Black / Silver
Asus STRIX GAMING Advanced,455,6,1500,Black
XFX GTS,272.97,8,1405,Black / Red
Gigabyte EAGLE,595.07,8,1550,Black
PNY UPRISING,,8,1500,Black
Asus Turbo,,8,1607,
Sapphire NITRO+ SE,,16,1825,Black / Silver
XFX GTS XXX,,4,1257,
MSI GAMING TRIO,,12,2310,Black
EVGA 04G-P4-2690-KR,,4,915,Black / Silver
EVGA Superclocked ACX 2.0,,4,1165,Black / Blue
Gigabyte AORUS,,6,1632,Black / Orange
MSI ARMOR,,8,1607,Black / White
MSI GAMING,,8,1506,Red / Black
Gigabyte GAMING OC,,8,1650,Black
Gigabyte WINDFORCE 2X,,8,1410,Black
Asus STRIX GAMING,,8,1500,Black
Gigabyte EAGLE,,10,1710,Black
Sapphire NITRO+,520,8,2055,Silver / Black
PNY VCQK6000-PB,299.95,12,902,Black / Silver
KFA2 EX Gamer (1-Click OC),,12,2310,Black
PNY XLR8 Gaming VERTO EPIC-X RGB OC,,12,1920,Black
Asus STRIX GAMING,999,11,1350,Black
PNY VCQK420-2GB-PB,99.96,2,876,Black / Green
EVGA XC HYBRID GAMING,1987.98,11,1350,Black / Clear
Gigabyte AORUS XTREME,1649,12,1365,Black
MSI SUPRIM X,,10,1440,Black / Silver
MSI ARMOR OC,399,6,1506,Black / White
Asus STRIX GAMING Advanced,,8,1500,Black
Gigabyte GV-N26SO-896I,,0.875,680,Black / Orange
Sapphire 100366-2L,,2,1050,Black / Silver
EVGA FTW+ ACX 2.0+,,4,1216,Black / Blue
PNY VCQK620-PB,,2,1058,Black / Green
EVGA FTW ACX 2.0,349.99,2,1203,Black
Sapphire NITRO+,,4,1143,Black
EVGA GAMING,585,8,1506,Black / Gray
Sapphire NITRO,,4,1140,Black
MSI GAMING,,4,1290,Red / Black
MSI DUKE,,11,1350,Black
EVGA XC BLACK GAMING,,6,1530,Black
Sapphire 21293-01-40G,,8,1605,Silver
Asus DUAL MINI OC,,6,1530,Black
Asus DUAL,,12,1320,Black
Asus TUF GAMING,,12,1260,Black / Silver
Gigabyte VISION OC Rev 2.0,,10,1710,Silver / Black
MSI VENTUS 3X 8GD6X OC,599,8,1410,Black
Asus Turbo,719.57,12,1920,Black
PNY T-Series,255.75,4,735,Black / Gray
PNY VCQ2000D-PB,64.98,1,625,Black / Green
MSI DUKE OC,499,8,1708,Black / Beige
Asus STRIX LC GAMING OC,,16,1950,Black / Gray
Palit Dual OC,670.43,12,1920,Black
GALAX HOF,,24,2235,White
Gigabyte D6 LP,,4,1923,Black
Asus ROG STRIX GAMING,,8,2310,Black / Red
Gigabyte GV-N660OC-2GD,,2,1033,Black / Blue
Gigabyte WINDFORCE,,2,1033,Black / Silver
Sapphire Dual-X,,2,920,Black / Silver
Zotac AMP Extreme,,6,1253,Black / Silver
Palit Dual,,6,1506,Black
Gigabyte TURBO OC,,8,1657,Black / Orange
Asus STRIX,,4,1175,Black
EVGA SC BLACK GAMING,,8,1470,Black / Silver
Sapphire PULSE BE,,6,1247,Black / Red
Asus ROG STRIX GAMING,,12,1320,Black / Silver
XFX RX-68TMATFD8,,16,1825,Black / Silver
Palit StormX OC,,6,1040,Black
MSI VENTUS 3X OC LHR,999,10,1440,Black
Asus KO OC V2,609.18,12,1320,Black / Silver
Gainward Pegasus,,8,1830,Black
Sapphire NITRO,,8,1040,Black / Silver
MSI AERO ITX,,4,1341,Black / White
Gigabyte TURBO,,11,1506,White / Orange
Asus STRIX GAMING,,8,1410,Black
MSI VENTUS,,8,1605,Black / Silver
Asus STRIX GAMING,,8,1635,Black
MSI VENTUS OC,,8,1650,Silver / Black
Gigabyte GAMING,,4,1168,Black / Orange
Asus TUF Gaming X3 EVO OC,,8,1605,Black
Asus DUAL EVO TOP,,6,1247,Black
Palit GameRock,,12,1365,Silver
MSI SUPRIM,,8,1575,Black / Silver
Asus ROG STRIX GAMING,,12,1365,Black / Silver
XFX RAW II,,6,1247,Black
MSI GAMING,,8,1550,Black
GALAX EX Gamer (1-Click OC),,16,2340,Black
Asus DUAL,,16,2340,Black
XFX Speedster QICK 319 BLACK,484.9,16,1850,Black
XFX RX-68XTACBD9,880.99,16,1925,Black
EVGA Superclocked ACX,799.95,3,1006,Black / Silver
Zotac ZT-71113-20L,97.12,2,902,Black / Gold
PNY XLR8 Gaming UPRISING EPIC-X RGB,,10,1440,Black
AMD 100-505957,896.96,16,1200,Blue
MSI GT 1030 2GD4 LP OC,,2,1189,Black
Asus TUF OC,,6,1500,Black / Gray
Asus TUF GAMING OC P,239.99,4,1410,Black
EVGA ACX,,2,980,Black / Silver
Sapphire Tri-X,,4,1000,Black / Orange
XFX Black Edition,,8,1120,Black / Red
MSI GEFORCE GTX 1060 6GT OC,,6,1544,Black / White
Gigabyte MINI ITX OC,,3,1556,Black / Orange
MSI AERO ITX OC,,6,1544,Black / White
MSI AIR BOOST OC,,8,1181,Black / Red
Asus DUAL,,8,1515,Black / White
GALAX 26NRL7HPX7OC,,6,1365,Black
EVGA XC ULTRA BLACK GAMING,,6,1365,Black
PNY Dual,,6,1530,Black
Gigabyte GV-R57XTGAMING OC-8GD REV2.0,,8,1650,Black / Gray
MSI RX 6900 XT 16G,,16,1825,Black / Silver
GALAX (1-click OC),,8,1575,Black
