name,price,capacity,
Lexar NM710,158.99,2000,
Solidigm P44 Pro,169.99,2000,
Solidigm P44 Pro,87.99,1000,
PNY CS2241,209.99,4000,
Patriot P210,53.99,1000,
Seagate FireCuda,278.27,8000,
Corsair MP700 PRO,299.99,2000,
ADATA Legend 800,76.41,1000,
Sabrent Rocket 4 Plus,219.99,2000,
Seagate IronWolf Pro NAS,439.99,22000,
FanXiang S500 Pro,64.98,1000,
Samsung 970 Evo,116.55,500,
Silicon Power P34A60,39.99,512,
ADATA XPG SX8200 Pro,94.14,1000,
Corsair MP700 PRO,569.99,4000,
ADATA Legend 800,108.99,2000,
TEAMGROUP T-Force Vulcan Z,21.99,240,
Klevv CRAS C710,59.99,1000,
TEAMGROUP MP33,25.99,256,
Western Digital AV-GP,24.98,1000,
Leven JPS800,104.99,2000,
Western Digital Blue SN550,133,1000,
Mushkin Vortex Redline,77.98,1000,
TEAMGROUP Cardea Zero Z440 Graphene,,2000,
Samsung 870 QVO,166.05,2000,
Gigabyte AORUS Gen4 7300,123.05,1000,
TEAMGROUP T-Force Cardea Z44L,,1000,
KIOXIA EXCERIA G2,,1000,
Corsair MP700,149.99,1000,
Seagate Constellation ES.3,25.5,1000,
Seagate 1200 SSD,3187.5,800,
Western Digital Red,89.99,4000,
Acer Predator GM7000,54.99,512,
ADATA XPG GAMMIX S7,59.99,1000,
Western Digital Blue,80.98,500,
Seagate IronWolf NAS,175.99,8000,
Seagate BarraCuda Q5,63.99,1000,
Western Digital AV-GP,,500,
Western Digital WD_BLACK,249.99,10000,
Samsung 980,44.99,250,
Western Digital Blue,124.95,8000,
KIOXIA EXCERIA PLUS G3,,1000,
Samsung 850 Evo,,500,
Western Digital Blue SN580,58.88,500,
Kingston KC3000,70.98,512,
Samsung 870 QVO,339.99,4000,
Seagate Exos X20,379.99,20000,
Silicon Power P34A60,60.99,1000,
Intel 670p,86.37,1000,
Sabrent Rocket Q,,8000,
Corsair MP700,248.99,2000,
Kingston A400,27.99,120,
Seagate IronWolf NAS,179.99,8000,
MSI SPATIUM M450,41.98,500,
Silicon Power A60,104.99,2000,
Western Digital Black SN850X w/Heatsink,111.1,1000,
Intel DC P3600,1392,1600,
TEAMGROUP MP44,74.98,1000,
Crucial P2,89.99,1000,
TEAMGROUP T-Force Vulcan Z,199.99,4000,
TEAMGROUP MP33 PRO,64.98,1000,
Western Digital Black SN750,49.99,500,
Silicon Power A55,57.99,1000,
Western Digital Red Plus,229.99,12000,
Patriot P310,35.99,480,
Seagate Constellation CS,49.99,3000,
Silicon Power A55,97.99,2000,
Seagate IronWolf Pro NAS,349.99,20000,
Western Digital Blue,27.35,500,
Samsung 870 QVO,79.98,1000,
Gigabyte AORUS Gen4 7300,209.7,2000,
Western Digital Black SN770,49.99,250,
Corsair MP700 PRO w/Heatsink,589.99,4000,
Seagate IronWolf Pro NAS,314.99,16000,
Leven JM600,54.99,1000,
Inland TN450,69.98,1000,
Western Digital Caviar Blue,19.88,500,
Western Digital Blue,39.99,1000,
Kingston Fury Renegade,334.52,4000,
PNY CS900,36.99,500,
SanDisk SSD PLUS,74.99,1000,
Toshiba DT01ACA100,,1000,
KIOXIA EXCERIA PLUS G3,,2000,
Western Digital WD_BLACK,99.99,2000,
Patriot P210,19.98,256,
FanXiang S500 Pro,38.99,512,
Patriot P310,,960,
Corsair MP700 PRO,179.99,1000,
Patriot Viper VP4300 Lite,119.99,2000,
Kingston KC600,33.85,256,
Crucial P2,78.55,500,
Western Digital Green SN350,59.99,960,
Intel 660p,75,1020,
TEAMGROUP EX2,,16000,
TEAMGROUP GX2,32.99,512,
Toshiba MQ01ABD050,16,500,
Crucial P1,109,1000,
Silicon Power US75,214.99,4000,
Lexar NM620,42.99,512,
Mushkin Helix-L,37.99,512,
Silicon Power A55,34.99,512,
PNY CS1030,74.98,1000,
Leven JS600,184.99,4000,
Seagate BarraCuda,131.66,5000,
TEAMGROUP MP44L,43.99,500,
Crucial MX500,39.99,250,
Crucial BX500,27.99,240,
Western Digital Green SN350,39.99,480,
Western Digital Green SN350,119.34,2000,
SK Hynix Gold P31,84.99,1000,
Inland Performance Plus,138.99,2000,
Silicon Power UD85,67.98,1000,
Seagate Surveillance HDD,,2000,
TEAMGROUP CX2,102.99,2000,
Seagate BarraCuda,81.5,2000,
Toshiba P300,71.14,1000,
Patriot P310,21.99,240,
ADATA XPG SX8200 Pro,116,2000,
Crucial T700 W/Heatsink,289.99,2000,
ADATA SU630,30.47,240,
Crucial P5 Plus W/Heatsink,172.47,2000,
Corsair MP600 PRO LPX,164.99,2000,
Seagate FireCuda 540,309.99,2000,
TEAMGROUP Cardea A440,143.36,2000,
Sabrent Rocket 5,339.99,2000,
Sabrent Rocket Q,,1000,
Western Digital Blue,94.99,6000,
Seagate BarraCuda Pro,217,10000,
Sabrent Rocket 4 Plus,119.99,1000,
Kingston NV1,74.98,1000,
Toshiba MQ01ABD032,10.36,320,
Corsair MP600 PRO XT,175.99,2000,
Western Digital Blue SN550,,500,
Lexar NM790 w/Heatsink,84.99,1000,
Western Digital WD_BLACK,56.99,1000,
Leven JPS600,58.99,1000,
Patriot Burst Elite,49.99,960,
HP FX900 Pro,134.99,2000,
Inland TN470,137.99,2000,
Seagate FireCuda 530,115,1000,
Leven JS600,53.99,1000,
Samsung 860 Evo,86.13,250,
Western Digital WD_BLACK,109.99,6000,
Western Digital Blue SA510,136.87,2000,
Inland Performance Plus,75.98,1000,
Seagate Momentus 5400.6,21.99,500,
FanXiang S880,79.98,1000,
Patriot P210,30.99,512,
Mushkin Vortex Redline,136.99,2000,
Western Digital Blue SA510,271.7,4000,
PNY CS900,69.99,1000,
Seagate FireCuda,99.99,4000,
Sabrent Rocket 4 Plus,499.99,4000,
Western Digital Red Plus,199.99,10000,
Mushkin Helix-L,61.99,1000,
Crucial T705 W/Heatsink Limited Edition,346.99,2000,
Samsung 860 Pro,1099.99,4000,
TEAMGROUP MP33 PRO,40.99,512,
TEAMGROUP MS30,108.99,2000,
Kingston KC3000,377.99,4096,
Crucial BX500,37.99,480,
Mushkin Tempest,68.98,1000,
Kingston A2000,,1000,
Seagate FireCuda 530,219.95,2000,
Inland TN470,81.99,1000,
TEAMGROUP Cardea A440,79.98,1000,
Gigabyte Gen3 2500E,91.55,1000,
Gigabyte AORUS Gen5 12000,269.99,2000,
Western Digital Green SN350,28.99,240,
Samsung 960 Evo,87.06,250,
Corsair MP600 PRO LPX,99.99,1000,
SanDisk SSD PLUS,29.99,240,
Western Digital WD_BLACK,179.99,8000,
TEAMGROUP QX,197.99,4000,
Sabrent Rocket 5,189.99,1000,
MSI SPATIUM M480 PRO,285,4000,
Seagate BarraCuda,84.35,3000,
Patriot Viper VP4300 Lite,,1000,
Seagate Desktop HDD,,4000,
Western Digital Green,51.55,240,
Patriot P210,97.99,2000,
Corsair MP600 PRO NH,159.99,2000,
Leven JS600,29.99,512,
Patriot P300,,2000,
Samsung 860 Evo,255,2000,
Verbatim Vi5000,78.5,1000,
Western Digital Black SN850,112.99,1000,
TEAMGROUP AX2,54.99,1000,
Lexar NM710,34.99,500,
Corsair MP600 ELITE,159.99,2000,
Intel 670p,149,2000,
Samsung 970 Pro,199.99,512,
Seagate IronWolf Pro NAS,229.99,12000,
Seagate FireCuda,125,2000,
Kingston NV1,48.99,500,
Inland Performance Plus,897.99,8000,
Crucial T705 W/Heatsink,314.99,2000,
Corsair MP600 ELITE,89.99,1000,
Western Digital Red Plus,99.99,4000,
ADATA XPG SX8200 Pro,57.16,512,
TEAMGROUP MP44,849.99,8000,
Western Digital Red Pro,372.95,20000,
Seagate IronWolf Pro,240,14000,
MSI SPATIUM M461,267.7,4000,
Western Digital Black SN750,74.98,500,
Gigabyte AORUS Gen4 7000s,92.43,1000,
Silicon Power XS70,149.99,2000,
ADATA XPG SPECTRIX S40G RGB,82.22,1000,
Crucial T500 W/Heatsink,160.99,2000,
Samsung 980 Pro,129.99,250,
Western Digital Black SN850,84,500,
Seagate BarraCuda,22.99,500,
TEAMGROUP EX2,106.99,2000,
Crucial T500,72.99,500,
TEAMGROUP T-Force Cardea Z540,142.99,1000,
Solidigm P41 Plus,47.89,500,
Seagate EXOS Enterprise,329.99,16000,
Western Digital Red Plus,169.99,8000,
FanXiang S880,129.99,2000,
Western Digital Blue SN570,39.99,250,
Western Digital SE,42.98,2000,
Seagate IronWolf NAS,224.99,14000,
MSI SPATIUM M460,72.99,1000,
PNY CS3140,,8000,
Western Digital AV-GP,39.99,2000,
Samsung 860 QVO,123.91,1000,
Western Digital Red Plus,84.99,3000,
Crucial T500 W/Heatsink,89.99,1000,
Seagate Barracuda Compute,64.98,2000,
Silicon Power A55,59.99,1000,
ADATA Legend 710,,512,
Seagate IronWolf Pro,288.12,16000,
Seagate IronWolf NAS,228.45,12000,
KIOXIA EXCERIA G2,,2000,
Mushkin Helix-L,106.99,2000,
Sabrent Rocket Q,,2000,
Western Digital VelociRaptor,50.99,1000,
Western Digital WD_BLACK,194.99,6000,
Lexar NM790 w/Heatsink,,4000,
SK Hynix Gold P31,149.99,2000,
Timetec 35TTFP6PCIE,59.99,1000,
Intel 670p,51.9,512,
TEAMGROUP T-Force Cardea Z540,246.99,2000,
Samsung 970 Pro,392.99,1000,
Asus ROG Strix SQ7,,1000,
Corsair MP700 PRO w/Heatsink,279.99,2000,
Seagate BarraCuda Pro Compute,59.99,1000,
TEAMGROUP QX,96.99,2000,
Samsung 970 Evo,248.99,2000,
Western Digital Blue,50.99,1000,
Samsung 960 Pro,689.95,2000,
KingSpec NX-2280,,1000,
Intel Optane P1600X,70.98,118,
Western Digital Red Pro,418.99,22000,
Samsung 850 Evo,129.23,1000,
Intel 320,,600,
Samsung 850 Pro,210.28,1000,
Crucial P2,121.99,2000,
KingSpec XG7000,,1000,
Crucial P5 Plus W/Heatsink,93.99,1000,
VisionTek 901414,1566.2,8000,
Seagate Barracuda Compute,84.99,4000,
Seagate Exos X22,479.99,22000,
ADATA Ultimate SU650,15.99,120,
Western Digital Blue SA510,86.45,1000,
Mushkin Tempest,102.99,2000,
Western Digital Red Plus,127.42,6000,
Seagate FireCuda,149,2000,
Kingston A2000,,500,
Western Digital WD Blue,49.99,1000,
Western Digital Black AN1500,365.03,4000,
Samsung 860 Evo,379.24,4000,
Lexar NS100,,1000,
Seagate Barracuda Compute,79,3000,
Silicon Power P34A60,27.99,256,
Toshiba MG10 512e,339,20000,
Western Digital Black SN750,646.48,4000,
SanDisk SSD PLUS,124.99,2000,
TEAMGROUP T-Force Vulcan Z,20.99,256,
ADATA Legend 710,73.43,1000,
Western Digital Red Pro,326.54,18000,
Crucial T700 W/Heatsink,171.99,1000,
ADATA Legend 960,163.8,2000,
Silicon Power XS70,89.99,1000,
Mushkin Gamma,849.99,8000,
Toshiba DT01ACA200,,2000,
Sabrent Rocket 4.0,,500,
Samsung 960 Evo,139.99,500,
Samsung 970 Evo,92,250,
Gigabyte GP-GSTFS31480GNTD,43.03,480,
Western Digital Red Pro,,24000,
Corsair MP600 PRO XT,103.99,1000,
PNY CS1030,36.99,500,
TEAMGROUP T-Force Cardea A440 Pro,,2000,
Silicon Power US75,77.98,1000,
TEAMGROUP CX2,54.99,1000,
Corsair MP600 Force Series Gen4,208.65,1000,
Intel P3700,1850,1600,
Patriot Burst Elite,17.98,240,
TEAMGROUP MS30,23.99,256,
ADATA XPG SPECTRIX S40G RGB,55.42,512,
HP FX900 Pro,84.99,1000,
Western Digital Green,72.02,1000,
Western Digital Gold,446.19,22000,
Gigabyte GP-GSM2NE3256GNTD,36.79,256,
SanDisk SSD PLUS,43.78,480,
Western Digital PC SN730,45,512,
Solidigm P44 Pro,67.94,512,
Intel 660p,86.99,512,
Seagate Surveillance HDD,307.37,8000,
TEAMGROUP MP33 PRO,110.99,2000,
Seagate BarraCuda,132.97,6000,
AGI AI198,44,512,
Lexar NM790 w/Heatsink,149.99,2000,
SanDisk Ultra 3D,249.99,4000,
Lexar NQ790,,2000,
Seagate BarraCuda,63.99,1000,
Western Digital Blue,87.99,2000,
ADATA LEGEND 850 LITE,112.99,2000,
Seagate BarraCuda Q5,123,2000,
Western Digital Black SN850,234.99,2000,
Seagate IronWolf Pro NAS,308.99,18000,
Intel DC P3608,,4000,
Seagate Exos X18,284.99,16000,
ADATA LEGEND 840,44.99,512,
Seagate IronWolf NAS,222.11,10000,
Gigabyte AORUS,,8000,
ADATA XPG GAMMIX S60 Blade,72.99,1000,
TEAMGROUP T-Create Classic DL,68.98,1000,
Seagate FireCuda 520,59.55,500,
Crucial T705 W/Heatsink,194.99,1000,
Corsair MP600 PRO LPX,164.99,2000,
Samsung 850 Pro,155.25,256,
Western Digital Red Pro,318.99,16000,
TEAMGROUP GX2,61.99,1000,
Crucial P5,119.99,1000,
ADATA LEGEND 850 LITE,68.98,1000,
Corsair MP600 GS,83.99,1000,
Seagate EXOS Enterprise,81,4000,
PNY CS2241,129.99,2000,
Intel 660p,74.95,1000,
ADATA SU630,56.76,480,
Kingston SSDNow V300,44.99,120,
Seagate BarraCuda,23.93,500,
Lexar NS100,83.99,512,
Western Digital WD_BLACK SN850P for PS5,126.48,1000,
Seagate SkyHawk Surveillance,89.99,4000,
Transcend 110S,24.99,128,
Gigabyte AORUS Gen4,169,1000,
Western Digital Caviar Green,52.99,1000,
Intel DC P3600,1850,800,
Hitachi Ultrastar He8,1087,8000,
Seagate FireCuda 530,827,4000,
Silicon Power A55,34.99,512,
KIOXIA EXCERIA PRO,,1000,
Western Digital Blue,184.44,2000,
TEAMGROUP T-Force Cardea Z44Q,,2000,
ADATA LEGEND 960 MAX,89.99,1000,
Verbatim Vi3000,115.27,2000,
Sabrent Rocket Q,,500,
Corsair MP600 GS,198.99,2000,
Inland TN450,46.99,500,
Patriot Viper VP4300 Lite,229.99,4000,
Verbatim Vi550,41.98,512,
ADATA XPG SX6000 Pro,31.17,256,
Sabrent Rocket,,1000,
Seagate Exos X20,315,18000,
Gigabyte AORUS Gen5 12000,159.98,1000,
Crucial P1,74.22,500,
TEAMGROUP Cardea Zero Z440 Graphene,,1000,
KIOXIA EXCERIA,89.5,500,
Seagate Enterprise,149,8000,
PNY CS2241,67.99,1000,
Lexar NQ790,,1000,
Seagate IronWolf NAS,98.88,4000,
Patriot P400 Lite,89.33,1000,
Verbatim Vi5000,134.44,2000,
Kingston Fury Renegade,78.48,500,
Patriot P310,,1920,
KingSpec XG7000 PRO,89.99,1000,
Western Digital Blue,49.99,250,
Western Digital Blue,87.2,1000,
Western Digital Black AN1500,205.11,2000,
Western Digital Blue SN570,209,2000,
Kingston Fury Renegade with Heat Sink,406.43,4000,
Western Digital Red Plus,219.99,8000,
Samsung 840 Evo,95,250,
Enmotus FuzeDrive,,1550,
Lexar NM790,,512,
Silicon Power A55,24.99,256,
Seagate FireCuda 540,195.99,1000,
Corsair MP600 PRO NH,64.98,500,
Seagate BarraCuda,128.99,4000,
PNY CS900,29.7,250,
Inland Professional,20.99,120,
ADATA XPG GAMMIX S11 Pro,95.09,1000,
Seagate Exos X16,436.46,16000,
Seagate Surveillance HDD,,2000,
ADATA LEGEND 700,101.91,1000,
Inland Performance Plus,281.99,4000,
Western Digital Blue SN550,39.99,250,
Western Digital WD_BLACK SN850P for PS5,199.99,2000,
Western Digital Blue SA510,56.99,500,
SK Hynix Gold P31,62.99,500,
ADATA SU800,,128,
Toshiba MG09 512e,319.99,18000,
Western Digital Red,62.99,2000,
KIOXIA EXCERIA PRO,259.33,2000,
GOODRAM PX700,135.84,1024,
Toshiba DT01ACA050,33.72,500,
Silicon Power XS70,299.99,4000,
ADATA XPG GAMMIX S70 Blade,279.99,4000,
Toshiba X300,114.99,4000,
Western Digital Gold,419.99,20000,
Verbatim Vi3000,70.99,1000,
Western Digital Blue SN580,46.99,250,
Samsung 960 Pro,177.71,512,
Silicon Power US75,132.99,2000,
Western Digital WD Blue,59.99,2000,
Kingston KC600,58.88,512,
Western Digital SN530,59.99,512,
Western Digital Blue,69.99,3000,
Corsair MP600 PRO LPX,399.99,4000,
