name,price,capacity,
TEAMGROUP AX2,102.99,2000,
Seagate IronWolf Pro NAS,154.99,4000,
Inland Professional,25.99,240,
Western Digital Blue,47,1000,
Gigabyte AORUS Gen4,,1000,
Western Digital Red Plus,385,14000,
TEAMGROUP T-Force GE Pro,259.99,2000,
Sabrent Rocket,,512,
TEAMGROUP T-Force Delta Max RGB Lite,79.98,1000,
Intel 710,905.95,200,
PNY CS900,,120,
Crucial P2,49.99,250,
Patriot Burst Elite,92.99,1920,
Toshiba MG07ACA14TE,208.99,14000,
Seagate Exos 7E10 512e/4Kn,169.99,8000,
Sabrent Rocket 4,99.99,1000,
MSI SPATIUM M470,149.99,1000,
Lexar NM620,74.98,1000,
Western Digital Red SN700,329.99,4000,
PNY CS2241,,500,
Corsair MP600 PRO LPX,339.99,4000,
Samsung PM961,,256,
FanXiang S880,269.99,4000,
Western Digital Black SN750 SE,45,250,
Acer Predator GM7,310.99,2000,
ADATA LEGEND 960 MAX,149.99,2000,
Acer Predator GM3500,,1000,
Crucial MX300,,525,
Seagate NAS HDD,,1000,
PNY CS1030,33.71,250,
TEAMGROUP MS30,50.06,128,
PNY CS1031,,1000,
Kingston KC600,169.86,2048,
TEAMGROUP T-Create Classic C47,249.99,4000,
Seagate FireCuda 520,403.26,2000,
Silicon Power SU128GBSS3A55S25AE,18.99,128,
Sabrent Rocket 4,199.99,2000,
TEAMGROUP Z440 Lite,72.98,1000,
Inland Professional,25.99,256,
Seagate Exos X16,,12000,
Western Digital Black AN1500,365.03,1000,
Samsung 860 QVO,199.3,2000,
ADATA XPG SX6000 Pro,51.17,512,
Western Digital Black,185,4000,
Western Digital Red,235.98,8000,
Lexar NM610PRO,,1000,
Patriot P400 Lite,,500,
KingSpec XG7000,119.99,2000,
Toshiba X300,141.99,6000,
Sabrent Rocket 4 Plus G,,2000,
TEAMGROUP QX,32.99,512,
Corsair MP600 PRO,160.99,2000,
Gigabyte GP-GSTFS31240GNTD,32.58,240,
Samsung 950 PRO,,512,
PNY CS900,,240,
ADATA XPG GAMMIX S60 Blade,132.99,2000,
TEAMGROUP QX,55.99,1000,
ADATA Legend 850,69.99,1000,
ADATA SU655,,120,
Corsair Force MP500,,240,
TEAMGROUP AX2,32.99,512,
Western Digital WD_BLACK SN850P for PS5,347.99,4000,
Lexar Professional NM800PRO,159.99,2000,
ADATA XPG GAMMIX S70 Blade,66.16,512,
Kingston A400,40.99,120,
Samsung 860 Evo,213.13,1000,
Intenso 3812430,18.66,128,
Samsung 860 Evo,165,500,
FanXiang S660,124.99,2000,
Western Digital Red SA500,89.99,1000,
Seagate Surveillance HDD,,1000,
Nextorage NEM-PA,89.99,1000,
Western Digital Gold,349.99,16000,
TEAMGROUP T-FORCE Z44A5,,1000,
Western Digital Red,271,10000,
Seagate IronWolf Pro NAS,201,8000,
Lexar NM620,,512,
Kingston NV1,38.88,250,
TEAMGROUP T-Create Classic C47,129.99,2000,
Seagate FireCuda 520 Rev 2.0,,1000,
PNY CS3140,299.99,4000,
Inland Professional,39.99,512,
Corsair MP510,,480,
Corsair MP600 ELITE w/Heatsink,184.99,2000,
Sabrent Rocket 4 Plus G,119.99,1000,
Lexar NS100,,2000,
Western Digital Purple,117.99,4000,
Intenso Top Performance,18.32,128,
KingSpec NX-2280,,512,
TEAMGROUP T-FORCE G70 PRO Graphene,139.99,2000,
Western Digital Red Pro,299.99,14000,
Western Digital Blue,15.98,500,
PNY CS1031,52,500,
TEAMGROUP T-Create Classic C47,74.98,1000,
Silicon Power P34A60,23.99,128,
Inland TN320,67.98,1000,
Mushkin Vortex-LX,127.99,2000,
Seagate SkyHawk AI,418.16,20000,
Western Digital WDBSLA0040HNC-NRSN,93.76,4000,
PNY CS2230,61.77,500,
Seagate IronWolf Pro,364.89,20000,
Seagate FireCuda 530 w/Heatsink,129.99,1000,
ADATA SU800,41.48,256,
TEAMGROUP T-FORCE Z44A7,,2000,
Western Digital Black SN850 w/Heatsink,,2000,
HP EX900,,500,
TEAMGROUP T-Force Cardea Z44L,35.99,250,
HP FX900,47.99,512,
Toshiba L200,76.99,2000,
Patriot Viper VPR400 RGB,76.98,1000,
Toshiba MQ04ABF100,38.49,1000,
Crucial MX500,88.67,500,
Western Digital Caviar Green,,2000,
Western Digital Green,25.68,240,
Seagate BarraCuda Pro,215,8000,
Silicon Power A55,18.98,128,
TEAMGROUP T-Force Cardea Z44L,,500,
Seagate BarraCuda Q5,,500,
TEAMGROUP T-Force Cardea A440 Pro,,1000,
Transcend 250S,70.25,1000,
Corsair MP600 ELITE w/Heatsink,92.99,1000,
Corsair MP600 ELITE PS5,84.99,1000,
MSI SPATIUM M480,99,1000,
Gigabyte GP-GSTFS31256GTND,31.42,256,
Seagate Barracuda Compute,50.95,1000,
MSI SPATIUM M450,,2000,
TEAMGROUP T-FORCE Z44A7,,1000,
Samsung 840 Evo,159.99,500,
Kingston SSDNow KC400,,1000,
MSI SPATIUM M390,,1000,
ADATA LEGEND 970,169.99,1000,
Western Digital Gold,180,4000,
HP EX900 Plus,71.98,1000,
Samsung 850 Evo,,120,
Verbatim Vi7000G,129.99,2000,
Seagate IronWolf NAS,,12000,
HP FX900 Pro,274.99,4000,
ADATA SU630,95.69,960,
Transcend 250S,220.59,2000,
Leven JS600,97.99,2000,
TEAMGROUP T-FORCE G50,68.99,1000,
TEAMGROUP EX2,33.99,512,
Toshiba MQ01ABD-V,33.85,1000,
Addlink S70,42.44,512,
Seagate BarraCuda 120,233.35,1000,
Gigabyte AORUS Gen5 10000,,2000,
Western Digital Purple Pro,460,22000,
Mushkin Vortex Redline,286.98,4000,
GOODRAM PX700,289.33,2048,
TEAMGROUP AX2,21.59,256,
Mushkin Vortex Redline,,512,
Nextorage NEM-PA,144.99,2000,
Gigabyte AORUS Gen4 7000s,257.9,2000,
ADATA XPG GAMMIX S11 Pro,175.24,512,
Kingston SSDNow V300,59.77,240,
Kingston SSDNow UV400,,240,
Samsung PM961,,1000,
Western Digital WD_BLACK SN770M,214.45,2000,
Seagate Constellation ES.3,189.99,4000,
Western Digital Gold,241.25,10000,
Western Digital Blue Mobile,43.49,1000,
Western Digital Red SA500,637.5,4000,
Seagate Exos X14,249,14000,
Samsung PM961,74,128,
Western Digital Red Pro,269.99,10000,
Seagate Momentus Thin,20.99,500,
Intel D3-S4510,1595,7680,
Seagate Constellation ES.2,44,3000,
Seagate Exos X16,,10000,
Seagate IronWolf Pro NAS,94.99,2000,
Western Digital Blue SN500,88,500,
Gigabyte GP-GSTFS31100TNTD,88.55,1000,
Western Digital Black,153.88,512,
SanDisk Ultra 3D,,2000,
Western Digital AV-GP,18.98,250,
Seagate SkyHawk,85.98,1000,
Kingston SSDNow V200,64.98,128,
Crucial P5,,500,
Western Digital AV-25,32.47,1000,
Seagate BarraCuda Pro Compute,199,12000,
TEAMGROUP T-Force Delta Max White RGB Lite,79.99,1000,
Intenso Top Performance,37.27,256,
Inland TN320,29.99,256,
Hitachi Ultrastar,,2000,
ADATA LEGEND 900,79.98,1000,
Sabrent Rocket,,2000,
Apacer AS2280P4,132.16,1000,
Intenso High Performance,26.87,240,
Samsung 860 Pro,599.99,2000,
Kingston Q500,37.99,480,
TEAMGROUP T-Force Cardea A440 Pro,,4000,
Western Digital Green,47,120,
Corsair MP600 CORE,1080,4000,
Intenso 3812450,42.89,512,
Samsung 960 Pro,359.99,1000,
Crucial BX500,,120,
Inland Premium,,1000,
Western Digital Blue SN550,69.99,500,
Patriot Viper VPR400 RGB,49.99,512,
KIOXIA EXCERIA,49.95,480,
Seagate Pipeline HD,,500,
Western Digital Blue,199.99,2000,
Micron 7400 PRO,,3840,
Western Digital Blue SA510,44.99,250,
Seagate Exos X16,370,14000,
Crucial MX300,139,1050,
Intel 660p,70,512,
Seagate Barracuda Compute,92.77,2000,
SK Hynix Gold S31 500,,500,
Kingston SSDNow S100,,16,
MyDigitalSSD Super Boot Drive,,8,
Toshiba X300 Pro,178.99,8000,
Verbatim Vi5000,58.44,512,
TEAMGROUP CX2,21.59,256,
Seagate EE25.2,19,40,
TEAMGROUP T-Force Cardea Z44L,,2000,
Western Digital Caviar Black,122.49,2000,
Addlink A95,939.44,8000,
Seagate BarraCuda,,250,
Western Digital Red SN700,149.95,1000,
ADATA Legend 960,270.99,4000,
Corsair MP600 ELITE PS5,159.99,2000,
PNY CS3140,89.99,1000,
ADATA XPG SX8200 Pro,59.89,256,
Western Digital Purple,94.99,4000,
Hitachi HDS723030ALA640,62.49,3000,
ADATA Premium For PS5,134.99,2000,
Western Digital Red Pro,229.99,8000,
Seagate FireCuda 530 w/Heatsink,75.99,500,
HP EX920,111.99,1000,
Western Digital Gold,219.99,8000,
Corsair MP400,1038.49,4000,
Hitachi Ultrastar He10,321.45,10000,
Corsair MP600 Force Series Gen4,,500,
MSI SPATIUM M371,,500,
Samsung 840 Pro,,256,
TEAMGROUP A440 Lite,133.99,2000,
TEAMGROUP EX2,57.99,1000,
Corsair MP600 PRO,98.99,1000,
Western Digital Black SN850,104.99,500,
Western Digital Blue SA510,89.99,1000,
ADATA LEGEND 850 LITE,46.99,500,
ADATA Ultimate SU750,80,1000,
Klevv CRAS C910,45.99,500,
Seagate BarraCuda Pro,,4000,
Western Digital PC SN730,49.5,256,
Samsung 850 Evo,275,2000,
Seagate FireCuda 520 Rev 2.0,,500,
Nextorage G-Series,855.99,2000,
Silicon Power UD85,,500,
Silicon Power Silm S55,17.59,120,
Western Digital Black,69.95,1000,
Transcend 110S,34.99,256,
Samsung 750 EVO,,250,
Samsung 860 Evo,,250,
Seagate EXOS Enterprise,95,4000,
Western Digital WD_BLACK SN770M,109.99,1000,
Transcend MTE240S,129.99,1000,
Seagate BarraCuda,,250,
Lexar NS100,19.99,128,
Corsair MP510,,240,
Toshiba MG08,249.99,16000,
Addlink S93,124.44,2000,
FanXiang S500 Pro,109.99,2000,
Seagate Lightsaber Collection FireCuda,153.18,1000,
Western Digital Blue Mobile,25,500,
Western Digital Caviar Blue,23,500,
Western Digital Gold,149.99,4000,
KingSpec NXM,17.99,128,
Seagate IronWolf Pro NAS,260,10000,
Crucial MX100,,256,
HP EX900 Plus,114.99,2000,
Hitachi Ultrastar,59,2000,
Corsair MP600 CORE,468,2000,
Acer Predator GM7,,1000,
Western Digital Gold,299.99,12000,
Inland TD510,239.99,2000,
ADATA Ultimate SU650,38.99,480,
ADATA XPG SPECTRIX S40G RGB,,256,
ADATA Ultimate SU650,73.73,960,
PNY XLR8 CS3030,169.99,1000,
Micron 5400 Pro eSSC,1550,7680,
Seagate NAS HDD,,2000,
Samsung 850 Pro,320,2000,
Mushkin Vortex-LX,68.98,1000,
Seagate EXOS Enterprise,219.99,8000,
PNY CS3140,147.99,2000,
Western Digital WDS100T1XHE w/Heatsink,99.99,1000,
Lexar NQ100,24.99,240,
Western Digital Blue,46.95,1000,
Inland Platinum,65.98,1024,
Samsung Spinpoint F3,,1000,
Crucial MX300,159.99,275,
GOODRAM CL100 gen.3,,480,
AGI AI298,,2000,
Inland TN450,117.99,2000,
ADATA Legend 850,128.99,2000,
Seagate IronWolf,218.12,12000,
Seagate FireCuda 530,87.75,500,
Western Digital Black SN750,272.91,2000,
Toshiba P300,,500,
Samsung 860 Pro,270,512,
Seagate ST1000DX001,,1000,
MSI SPATIUM M461,,2000,
Western Digital Caviar Green,,1000,
Samsung 840 Pro,,512,
Lexar NM610,124.99,1000,
Intel Optane P1600X,,58,
Western Digital WD_BLACK,,500,
Corsair MP600 PRO,373.99,4000,
Western Digital Purple,63.99,2000,
Western Digital Caviar Green,82.8,2000,
Micron 3400,149.99,1000,
Crucial BX100,,250,
Samsung 750 Evo,149.99,500,
Western Digital Red,499.99,10000,
Kingston NV1,,2000,
Seagate Exos X18,299.45,16000,
PNY CS1030,,2000,
Seagate SkyHawk Surveillance,69.99,2000,
Lexar NM760,,1000,
Western Digital Red Pro,92.99,2000,
Seagate IronWolf NAS,325,16000,
Western Digital WD Blue,119.44,6000,
Western Digital WDBSLA0020HNC-NRSN,64.98,2000,
HP EX900,35.99,250,
Western Digital WD Blue,59.99,500,
MSI SPATIUM S270,35.5,240,
Western Digital Red,,3000,
Acer FA100,31.99,256,
Netac NV7000,160.99,2000,
ADATA XPG SPECTRIX S40G RGB,,2000,
Acer FA200,,1000,
Seagate Constellation ES.3,65,4000,
Western Digital Green,152.5,2000,
Lexar NS100,74.98,1000,
Western Digital Blue,54.88,250,
Western Digital Blue SN550,168,2000,
MSI SPATIUM M371,,2000,
Gigabyte AORUS Gen4,,2000,
Acer FA100,46.99,512,
Gigabyte GP-GSM2NE3512GNTD,88.99,512,
Samsung 860 Pro,291,1000,
Seagate Barracuda Green,205.63,2000,
Toshiba HDD2K12,,750,
Western Digital Ultrastar DC HC550,294.99,16000,
Crucial P5,239.47,2000,
TEAMGROUP T-FORCE G70 PRO Graphene,84.99,1000,
Western Digital Caviar Black,100.49,1000,
Micron 2200,,512,
Western Digital Blue Mobile,79.98,2000,
Intel DC P4510,769,8000,
Lexar Professional NM800PRO,59.99,512,
Western Digital Blue SA510,56.99,500,
Seagate FireCuda 510,149.99,1000,
Seagate Surveillance HDD,624,6000,
ADATA Swordfish,,1000,
Integral M,,1000,
Mushkin Tempest,40.99,512,
PNY CS900,,1000,
SanDisk EXTREME PRO,179.99,1000,
ADATA LEGEND 840,99.99,1000,
Netac NV3000,,250,
Seagate BarraCuda Pro,227.11,10000,
Kingston Fury Renegade with Heat Sink,76.03,500,
Seagate BarraCuda 510,174.67,1000,
Seagate BarraCuda 120,,500,
Seagate ST4000DX001,,4000,
Seagate ST2000DM002,,2000,
TEAMGROUP T-FORCE G50,124.99,2000,
ADATA XPG SX6000 Pro,76.27,1000,
ADATA XPG GAMMIX S11 Pro,48.92,256,
Western Digital Black,69.99,1000,
Seagate BarraCuda,34.99,1000,
Western Digital Red Plus,109.95,4000,
Western Digital Blue,115.99,3000,
Toshiba MQ01ABD100,,1000,
Samsung Spinpoint M8,,1000,
SanDisk EXTREME PRO,124,500,
Netac NV3000,,1000,
AMD RADEON-R7SSD-480G,,480,
Seagate Surveillance HDD,,3000,
Kingston HyperX FURY RGB,,960,
ADATA Premium For PS5,69.98,1000,
Patriot P400,,512,
HP EX900 Plus,31.99,256,
Silicon Power A80,,2000,
Silicon Power A55,,1000,
Lexar NM610PRO,,2000,
ADATA XPG GAMMIX S50 Lite,178.67,1000,
Lexar NS100,,128,
Western Digital Purple,53.99,1000,
Western Digital Green,,2000,
Samsung 840 Evo,,1000,
Verbatim Vi7000G,242,4000,
Lexar NM620,,256,
Toshiba N300,243,8000,
Integral M2,,250,
Lexar NQ100,34.99,480,
Seagate EXOS Enterprise,286.1,14000,
Western Digital Red,315,12000,
Hitachi Ultrastar He12,319.99,12000,
Seagate BarraCuda,112.35,4000,
ADATA XPG GAMMIX S5,96.25,512,
Western Digital Black PCIe,128.88,256,
Apacer AS2280P4,52.9,512,
Western Digital RE4,35.95,1000,
Western Digital PC SN730,149.99,1000,
Silicon Power UD90,,500,
Corsair Neutron NX500,,800,
Toshiba HDKCC00,50,500,
Seagate FireCuda,,1000,
ADATA LEGEND 700 GOLD,,1000,
Toshiba X300 Pro,339.99,16000,
Western Digital Green,105.03,480,
Seagate IronWolf NAS,126.33,2000,
PNY CS3150 RGB,160,1000,
Western Digital Red Pro,289.99,12000,
HP EX900 Plus,46.99,512,
Inland QN322,168.95,2000,
Western Digital Red,429.45,14000,
ADATA LEGEND 700,,512,
Western Digital Green,,4000,
Samsung MZ-75E4T0B,429.99,4000,
Western Digital SN520,,512,
Hitachi Ultrastar He10,173.78,8000,
Mushkin Tempest,26.99,256,
Western Digital SanDisk Extreme,,1000,
MSI SPATIUM S270,,960,
Oyen Digital E18-8TBICS5,839,8000,
Gigabyte GP-GSTFS31120GNTD,30,120,
XPG SX6000 Lite,,512,
KingSpec NXM,63.99,1000,
TEAMGROUP MP44,58.86,512,
TEAMGROUP CX1,20.99,240,
Seagate NAS HDD,,8000,
ADATA XPG SX6000,39.99,256,
Toshiba MD04ACA600,395.83,6000,
Lexar NS100,38.99,512,
Samsung Spinpoint F3,,500,
Kingston SSDNow UV400,,120,
Intel Optane 900P,,480,
Seagate IronWolf Pro,297.95,12000,
Western Digital RE,56.23,2000,
Western Digital Red SA500,205.99,2000,
Kingston KC600,101.87,1024,
Inland 1TB TD510 NVME,159.99,1000,
Western Digital Black,28.99,500,
HP FX900 Pro,54.99,512,
Corsair MP400,213.7,1000,
HP S700,,500,
Intel 600p,119,512,
Western Digital Red,,3000,
Transcend 830S,219.99,2000,
Seagate Lightsaber Collection FireCuda,299.99,2000,
Toshiba X300 Pro,274.99,12000,
Seagate IronWolf NAS,162.99,6000,
Western Digital Red SN700,,500,
Addlink A95,144.44,2000,
Nextorage NEM-PA,299.99,4000,
Western Digital Red SA500,69.98,500,
VisionTek 901409,1423.99,8000,
Gigabyte AORUS Gen4,,2000,
MSI SPATIUM M480,,2000,
Gigabyte AORUS Gen4 5000E,80.57,500,
Intel 545s,119,256,
ADATA Swordfish,,500,
Crucial MX500,,1000,
Intel 660p,400.17,2000,
PNY XLR8 CS3030,,500,
Western Digital Caviar Blue,42.99,250,
PNY CS1311,,240,
Inland Premium,,512,
KingSpec P3,,2000,
PNY CS1031,,256,
KIOXIA EXCERIA,,1000,
SanDisk Ultra II,44.09,240,
Seagate IronWolf NAS,202.6,6000,
TEAMGROUP T-FORCE G70 PRO Aluminum,89.99,1000,
Seagate IronWolf Pro,,18000,
Patriot Burst,34.34,240,
Synology SAT5200,,3840,
Apacer AS350 PANTHER,,512,
Intel DC S3700,100,100,
Gigabyte AORUS Gen5 10000,,1000,
Patriot P400,69.98,1000,
Western Digital Blue,82.99,4000,
Seagate Exos 7E10 512e/4Kn,139.99,6000,
Intel D3-S4520,941.75,7680,
TEAMGROUP GX2,,128,
Seagate Exos X18,382.83,18000,
PNY XLR8 CS3140 w/Heatsink,99.99,1000,
HP EX900,32.99,120,
TEAMGROUP T-Create Classic,81.84,1000,
Seagate IronWolf Pro,186.31,4000,
Seagate EE25.2,71.98,40,
SanDisk Ultra II,199.99,480,
Samsung 850 Evo,,250,
Lenovo S4520,239.19,480,
Crucial MX100,,512,
Western Digital Red Plus,129.99,6000,
KIOXIA EXCERIA,69.95,960,
Western Digital Purple Pro,209.99,8000,
Toshiba X300 Pro,374.99,18000,
Verbatim Vi560,62.37,1000,
Intenso High Performance,82.69,960,
Toshiba N300,109.99,4000,
Samsung 860 QVO,,4000,
Seagate ST2000DX001,235.79,2000,
PNY XLR8 CS3030,69.35,250,
Western Digital Caviar Blue,59.99,640,
ADATA XPG SPECTRIX S20G,,500,
Western Digital Ultrastar DC HC330,284.99,10000,
Seagate BarraCuda,,1000,
Intel 760p,113.9,256,
Seagate BarraCuda 510,,500,
Kingston A400,324.83,1920,
Seagate BarraCuda Q1,129.94,480,
Kingston HyperX Fury,,240,
Samsung MZVPV256HDGL-00000,,256,
SanDisk Ultra,,1000,
Seagate Enterprise Capacity,59.99,2000,
Leven JS600,19.98,256,
Klevv CRAS C930,79.98,1000,
Gigabyte AORUS,,512,
Sabrent Rocket 4.0 HTSK,99.99,1000,
Hitachi Travelstar Z7K500,,500,
MSI SPATIUM M480 PRO PLAY,,2000,
ADATA SU635,39.99,480,
Intel DC S3610,330.23,1600,
Timetec 30TTQNS3SATA-1TB,65.55,1000,
Samsung 850 Evo,206.11,500,
Toshiba OCZ TR200,36.99,240,
Kingston KC2500,,1000,
Intel DC P3608,,1600,
Crucial P1,,2000,
Seagate Exos 7E10 512n,116.99,2000,
Toshiba HDD3B04,,1000,
Seagate ST1000DM004,,1000,
Toshiba P300,,1000,
Water Panther Arsenal,,14000,
Apacer AS340 PANTHER,,240,
Western Digital SN530,,256,
Seagate Exos X22,,20000,
Seagate Exos X22,,22000,
Intel Optane 905P,307.99,960,
ADATA XPG SX8100,112.99,2000,
TEAMGROUP T-Force GE Pro,,4000,
Toshiba P300,109.72,4000,
TEAMGROUP T-FORCE G70 PRO Aluminum,289.99,4000,
Western Digital Red Plus,79.99,2000,
Western Digital Red Plus,,1000,
Western Digital Green,99.99,1000,
Western Digital Black SN750,336.77,1000,
Seagate Momentus,,1000,
Samsung 860 Pro,199.99,256,
ADATA SU635,,240,
Lexar NM610,59.99,500,
Corsair MP400,,8000,
KingSpec P3,,1000,
Western Digital Purple Surveillance,146.38,6000,
Seagate Exos X18,264.99,12000,
Transcend MTS800,34.94,32,
HP EX920,72.98,512,
KingSpec XG7000,89.99,1000,
Patriot Viper VP4300,109.99,1000,
Western Digital Blue,,320,
Hitachi Deskstar NAS,678.88,10000,
Kingston Q500,,120,
Corsair MP400,137.31,1000,
TEAMGROUP QX,,15300,
KingSpec XF,,1000,
MSI SPATIUM M570 HS,,1000,
GOODRAM IRDM PRO SLIM,,1000,
FanXiang S660,,500,
Lenovo S4520,,7680,
Mushkin Vortex-LX,43.99,512,
VisionTek DLX4,77,1000,
FanXiang S770,89.99,1000,
VisionTek PRO2,,250,
MSI SPATIUM S270,,480,
Silicon Power A55,25.97,256,
Samsung PM893,602,3840,
Seagate Barracuda Compute,124.99,6000,
HP EX950,103.18,1000,
Silicon Power A80,,1000,
Corsair MP600 CORE,211.5,1000,
Seagate IronWolf,91.14,1000,
Verbatim Vi550,,1000,
Intel DC S3710,267.97,400,
Seagate BarraCuda,33.5,500,
Western Digital Scorpio Blue,,1000,
SanDisk Solid State Drive,,256,
Crucial MX200,,250,
Kingston Predator,,480,
TEAMGROUP MP34,,512,
Micron 2200,,256,
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB,,1000,
GOODRAM PX700,,512,
Seagate Constellation ES.2,293,2000,
TEAMGROUP Z440 Lite,49.99,500,
ADATA LEGEND 900,139.99,2000,
Verbatim Vi3000,41.98,512,
Western Digital Blue SA510,39.99,250,
KingSpec NXM,23.99,256,
Seagate IronWolf 125,,1000,
Mushkin Pilot-E,145.41,2000,
HP EX920,59.99,256,
Kingston HyperX 3K,,120,
Western Digital Red,,4000,
Western Digital Black,,3000,
Seagate NAS HDD,,4000,
Kingston Predator,,240,
PNY CS900,,480,
KingSpec P3,,512,
Inland Prime,,1000,
GOODRAM CL100 gen.3,,240,
GameStop 23VG-GSPL-GameStop NVMe SSD-Heatsink-2TB,169.99,2000,
G.Skill Ripjaws S3,,240,
Sabrent Rocket,69.98,512,
Verbatim Vi7000G,105.49,1000,
Western Digital Red Plus,,6000,
Seagate FireCuda 120,703.29,2000,
Western Digital Green,73,240,
Apacer AS350 PANTHER,,1000,
Asus ROG RAIDR,,240,
Crucial BX100,,500,
Maxtor 7Y250M0,,250,
Corsair MP510,,1920,
Silicon Power A80,,512,
PNY XLR8 CS3040,,1000,
KingSpec NX-2280,,256,
Seagate Enterprise,124.08,6000,
FanXiang S770,,2000,
Western Digital Blue,169,1000,
Inland Platinum,119.99,2000,
Toshiba P300,73.6,2000,
Western Digital Ultrastar DC HC550,369.99,18000,
Western Digital BLACK SN850 Call of Duty Edition,216.76,1000,
ADATA XPG SPECTRIX S20G,117.25,1000,
Apacer AS2280Q4U,,1000,
Kingston SSDNow 200,,30,
ADATA SU760,37.99,512,
ADATA XPG SPECTRIX S40G RGB,,4000,
SanDisk SSD PLUS,66.97,120,
SanDisk Ultra 3D,48.98,250,
Western Digital Caviar Green,,3000,
Western Digital Caviar Green,,500,
Samsung MZVPV512HDGL-00000,204.49,512,
Crucial MX500,,250,
Kingston A1000,,240,
Seagate BarraCuda 120,,2000,
Inland Platinum,199.99,2000,
Lexar NM610,36.99,250,
Western Digital Blue,64.99,2000,
ADATA LEGEND 960 MAX,299.99,4000,
MSI SPATIUM M460,,2000,
Hitachi Ultrastar 7K4000,,4000,
Samsung Spinpoint M8,38.36,1000,
ADATA XPG SX6000,78.75,128,
Verbatim Vi550,24.99,256,
Western Digital Caviar Blue,99.72,1000,
Western Digital Blue,86.89,500,
Lexar NM610PRO,,500,
Inland Platinum,900,8000,
PNY XLR8 CS3140 w/Heatsink,628.05,2000,
Acer Predator GM7,446.99,4000,
Western Digital Black,235.48,6000,
Seagate BarraCuda Pro,350,12000,
Corsair CSSD-F4000GBMP600PXT,400.99,4000,
Transcend MTE240S,60.11,500,
Samsung PM893,76.95,240,
Hitachi 7K1000.C,75.63,1000,
Mushkin Source HC,1077.59,8000,
Western Digital Caviar Blue,72.31,500,
Seagate Barracuda 7200.10,,80,
SanDisk X400,,256,
Corsair Force MP500,,480,
Inland Platinum,,1000,
KIOXIA EXCERIA PLUS G2,,500,
Seagate Exos X18,,16000,
Silicon Power UD85,,4000,
Seagate IronWolf NAS,178.99,8000,
TEAMGROUP T-Create Classic DL,131.99,2000,
Lexar NQ100,99.99,1920,
Toshiba X300 Pro,302.99,14000,
Seagate Exos 7E8,77.95,3000,
Inland TN320,119.99,2000,
Seagate IronWolf NAS,228.78,10000,
Patriot Viper VP4300,169.99,2000,
Kingston Q500,32.27,240,
Toshiba X300,146,4000,
Toshiba P300,73.65,2000,
Intel 760p,109,1000,
Addlink A93 PS5,84.44,1000,
Sabrent Rocket Q4,130.84,1000,
ADATA Legend 850,59.34,512,
Western Digital Scorpio Blue,23,160,
Seagate Momentus 5400.6,29.99,250,
ADATA XPG GAMMIX S11 Pro,239.67,2000,
Seagate SV35.5,31.34,500,
Seagate SkyHawk,,2000,
Micron 5300 PRO,,7680,
Western Digital RE4,,2000,
Samsung SM951,,128,
Toshiba XG5,,256,
Western Digital Black NVMe,,500,
Seagate Enterprise Capacity,,12000,
ADATA Ultimate SU750,,512,
ADATA Falcon,151.66,1000,
Crucial P5,,250,
Acer SA100,27.99,240,
Western Digital SN530,,1024,
Leven JPS850,,2000,
Mushkin ELEMENT,24.9,256,
Toshiba X300,199,10000,
PNY CS900,320.45,4000,
Corsair MP510,,4000,
Western Digital Red SN700,73.14,250,
TEAMGROUP T-Force Cardea Z44Q,,4000,
Western Digital Gold,319.99,14000,
Western Digital Caviar Black,129.99,4000,
TEAMGROUP GX1,42.99,240,
Western Digital VelociRaptor,74.84,500,
Inland Prime,139.99,2000,
Integral M2,,512,
Netac NV7000-t,164.99,2000,
Samsung Spinpoint F1 DT,99.99,1000,
Apacer AS350 PANTHER,,256,
Toshiba MQ01ABD050V,,500,
ADATA Ultimate SU650,31.17,240,
Samsung 850 Pro,,128,
Kingston HyperX Fury,,120,
Intel Optane 905P,,1500,
ADATA XPG GAMMIX S5,,256,
Western Digital Ultrastar DC HC520,307.93,12000,
Neo Forza eSports,,1000,
Lexar NQ710,,1000,
Seagate Enterprise Capacity,236.52,4000,
Western Digital Red SA500,89.99,1000,
Toshiba X300 Pro,127.99,4000,
Western Digital Gold,85.63,1000,
Western Digital Gold,194.99,6000,
Patriot P300,,256,
Seagate Exos 7E10 512e/4Kn,238.93,10000,
TEAMGROUP T-FORCE G70 PRO Aluminum,149.99,2000,
Western Digital Caviar Green,169,3000,
Seagate BarraCuda Pro,151.99,6000,
Kingston KC600,33.79,256,
Apacer AS2280Q4U,,2000,
Western Digital Blue Mobile,19.98,320,
Seagate Nytro Enterprise,,15360,
KIOXIA EXCERIA,,250,
Netac NV7000-t,102.99,1000,
Western Digital Ultrastar,,8000,
Gigabyte AORUS,,1000,
Verbatim Vi3000,46.11,256,
Samsung Spinpoint F4,,2000,
Samsung SM951,,256,
Toshiba XG5,,1000,
Gigabyte AORUS RGB,,512,
XPG SX6000 Lite,,1000,
ADATA Ultimate SU750,,256,
Sabrent Rocket,,1000,
Klevv CRAS C710,,256,
Inland QN322,,1000,
KingSpec VP101,234.99,2000,
Seagate SkyHawk Surveillance +Rescue,139.99,6000,
TEAMGROUP GX2,102.99,2000,
Transcend SSD230S,419.99,4000,
Western Digital Red SA500,169.99,2000,
Kingston A400,50.99,480,
